time,Close,Volume,Ticker_x,quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,Ticker_y,Ticker,Close_MA7,Close_MA14,Close_MA30,Close_to_Open,High_to_Low,Volatility_14,Close_Pct_Change,RSI_14,MACD,MACD_Signal,BB_Upper,BB_Lower,Close_MA100,Close_MA200,Volatility_60,RSI_30,time_index,month,day_of_year,day_of_week,Close_lag_90,Close_lag_365,NPL_Diff,NPL_MA4,NIM_Diff,NIM_MA4,CIR_Diff,CIR_MA4,Credit_Growth_Diff,Credit_Growth_MA4,NIM_CIR_Ratio,NPL_Trend,Target_Direction_t+1,Target_Direction_t+3,Target_Direction_t+5,Target_Direction_t+30,Target_Direction_t+60,Target_Direction_t+90
2020-01-02,0.08933889219773677,0.012635362598357729,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.6127330284910304,0.6175970656646985,0.6298844661650914,0.42783641496905245,0.05623476235254021,0.18522649541208067,0.5087502365781335,0.528814690433135,0.46540990668512605,0.4655146461978546,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.0,0.0,0.0,0.75,0.6483726866624124,0.7496050552922593,0.5,0.4444444444444444,0.571428571428571,0.375,0.5552407932011332,0.29681978798586584,0.544776119402985,0.4529569892473117,0.0,1.0,0,0,0,1,0,0
2020-01-03,0.08933889219773677,0.009510542321779718,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.6127330284910304,0.6175970656646985,0.6298844661650914,0.39203288017704746,0.055520301277242515,0.18522649541208067,0.5087502365781335,0.528814690433135,0.46540990668512605,0.4655146461978546,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.0008361204013377926,0.0,0.002747252747252747,1.0,0.6483726866624124,0.7496050552922593,0.5,0.4444444444444444,0.571428571428571,0.375,0.5552407932011332,0.29681978798586584,0.544776119402985,0.4529569892473117,0.0,1.0,0,0,0,1,0,0
2020-01-06,0.08040500297796316,0.016205896961476007,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.6127330284910304,0.6175970656646985,0.6298844661650914,0.3033328579890228,0.10992074485424488,0.18522649541208067,0.39231446003558723,0.528814690433135,0.4586173283797756,0.4637911251375936,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.0016722408026755853,0.0,0.010989010989010988,0.0,0.6483726866624124,0.7496050552922593,0.5,0.4444444444444444,0.571428571428571,0.375,0.5552407932011332,0.29681978798586584,0.544776119402985,0.4529569892473117,0.0,1.0,0,0,1,1,0,0
2020-01-07,0.08040500297796316,0.009377104034808976,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.6127330284910304,0.6175970656646985,0.6298844661650914,0.39203288017704746,0.030483278276044423,0.18522649541208067,0.5087502365781335,0.528814690433135,0.4533729160699463,0.4610816125420037,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.002508361204013378,0.0,0.013736263736263736,0.25,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,0,1,1,1,0,0
2020-01-08,0.07385348421679577,0.04580113803049271,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.6127330284910304,0.6175970656646985,0.6298844661650914,0.3254828070325856,0.10381872423695279,0.18522649541208067,0.4213905127089231,0.528814690433135,0.4444199956182667,0.45664232501763885,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.0033444816053511705,0.0,0.016483516483516484,0.5,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,1,1,1,1,0,1
2020-01-09,0.0786182251340084,0.020162368311747156,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.6127330284910304,0.6175970656646985,0.6298844661650914,0.4226604489408792,0.07582693877908024,0.18522649541208067,0.5733800009453236,0.528814690433135,0.4412675089482308,0.45229099591362426,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.004180602006688963,0.0,0.019230769230769232,0.75,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,1,1,1,1,0,1
2020-01-10,0.08397855866587256,0.04773456992729734,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.062434048540274345,0.6175970656646985,0.6298844661650914,0.4283329200740263,0.136399900380312,0.18522649541208067,0.5805583068173754,0.528814690433135,0.4431482860074744,0.44928715331533403,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.005016722408026756,0.0,0.02197802197802198,1.0,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,1,1,1,1,0,1
2020-01-13,0.08755211435378207,0.023094089386805468,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.062170242701371725,0.6175970656646985,0.6298844661650914,0.39203288017704746,0.029998163976331007,0.18522649541208067,0.555964499554775,0.528814690433135,0.4475925542925844,0.4480117497091649,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.005852842809364548,0.0,0.030219780219780223,0.0,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,1,1,1,1,0,0
2020-01-14,0.09767718880285892,0.06169072176926271,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.06340133661625036,0.6175970656646985,0.6298844661650914,0.49301582021319723,0.12484948710242622,0.18522649541208067,0.6413096965491134,0.528814690433135,0.4589758330328804,0.44987977345223507,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.006688963210702341,0.0,0.03296703296703297,0.25,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,0,1,1,1,0,0
2020-01-15,0.0941036331149494,0.0125060488731523,ACB,0.0,2020,0.38181818181818095,0.10000000000000009,0.0,0.0,0.0009661835748792091,0.0,0.0,0.6140350877192982,0.11111111111111105,0.5357142857142858,1.0,0.0,0.0,1.0,0.75,0.6607142857142847,0.09292035398230114,0.8854625550660788,0.1428571428571428,0.4086021505376343,0.0,0.0,0.0,0.0,1.0,0.1363636363636367,1.0,0.2,0.0,ACB,ACB,0.06542384804783674,0.6175970656646985,0.6298844661650914,0.3572854968538327,0.04592286547830869,0.18522649541208067,0.4631376373897842,0.528814690433135,0.4652506477169806,0.45296633828161853,0.6209434311638977,0.6108433815318999,0.640474388803632,0.6382432669617956,0.2454982300167734,0.59436036319703,0.007525083612040134,0.0,0.03571428571428572,0.5,0.6483726866624124,0.7496050552922593,0.5,0.11111111111111105,0.571428571428571,0.0,0.5552407932011332,1.0,0.544776119402985,0.4086021505376343,0.0,1.0,1,1,1,1,0,1
