time,Close,quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,Ticker,NIM (%)_Diff_QoQ,NPL (%)_Diff_QoQ,CIR (%)_Diff_QoQ,Provision_Coverage (%)_Diff_QoQ,Cost_of_Funds (%)_Diff_QoQ,Equity_Ratio (%)_Diff_QoQ,Loan_to_Deposit (%)_Diff_QoQ,Credit_Growth (%)_Diff_QoQ,Pre_Provision_ROA (%)_Diff_QoQ,Post_Tax_ROA (%)_Diff_QoQ,Non_Interest_Income (%)_Diff_QoQ,Loan_to_Asset (%)_Diff_QoQ,NPL_to_Asset (%)_Diff_QoQ,ROE (%)_Diff_QoQ,ROA (%)_Diff_QoQ,P/E_Diff_QoQ,P/B_Diff_QoQ,BVPS (VND)_Diff_QoQ,Close_Pct_Change_QoQ,Quarterly_Return,Target_Return_t+1Q,Target_Direction_t+1Q
2020-06-30,-2.4957109614717536,2,2020,0.3197671274719128,-0.38141029310487473,-1.5891306861122498,-1.2887280031036197,1085,-1.7421906665125872,-0.7038955621343199,1.3433222116247343,-0.6601220535725074,0.16294135459377931,1.6265957502443786,-1.330820926101405,0.11,1.0255698038478518,0.708,1.0370700381523554,-2.018444267423435,0.657,-0.6653602289136726,-0.06112748712730926,-1.0246059842968265,-0.18952323321759637,0.1,0.062,13.3,0.321,12.3,0.001,0.065,VIB,-0.35794989611414674,0.4110679964309671,-0.9494947012897705,0.5229144744014038,-0.12442528431209976,0.18991906951566032,-0.699783321005936,-2.443559529951361,0.9506878262658925,0.42072898796954766,0.9842535524106844,-1.0287412561761304,0.2789974107452288,0.4578096184952088,-0.5539117094069979,0.38743648063129604,0.4026634880048086,-0.4285239747457638,1.0271643521916647,0.3612040133779264,0.5921375921375922,1
2020-09-30,-1.8976768157239612,3,2020,0.5332264500323181,-0.09842846273674234,-0.843212200794255,-0.5430489069681915,1220,-1.600218799737069,-0.5040239827628467,1.542493272816476,-1.049424803115268,-0.029574971895445442,1.1277730535027684,-0.8935511932395149,0.111,0.4639482445978386,0.725,1.9745088936001038,-1.9872032054108282,0.672,-0.8694040324471988,-0.0059928908948344815,-0.4683913071071224,0.6277957100332846,0.1,0.124,12.9,0.302,11.9,0.003,0.088,VIB,0.6711560552140247,-1.0662076157428193,-0.34193549520945404,-0.18874427774251865,-0.7603767374628309,0.7723375493636851,-0.07808740921096693,0.126391010169898,0.33802233822787336,0.8433923620906782,0.13999790337844953,1.2463595988287746,-0.6377083674176655,0.9943508274322653,0.8616404368553298,0.8785961135575848,0.8900982366422081,0.07669865246410718,1.9720993256072332,0.5921375921375922,0.4027777777777777,1
2020-12-31,-1.2500132802875557,4,2020,0.7272803796326874,0.18455336763138908,-0.14702161449745949,0.20263018916723638,1363,-1.4495768952958699,-0.5040239827628467,0.9698764718902185,-1.568495135838949,1.2410327829334364,0.29640189226675234,-1.6223340813426652,0.106,0.8383626174311808,0.712,1.6620292751175192,-0.48763222880552803,0.631,-1.4815354430477765,1.41372296209139,-0.8489592441316567,0.2505715823790313,0.1,0.117,13.6,0.317,12.6,0.003,0.086,VIB,0.15660307954993896,-1.3616627381775768,0.33313028932423194,1.8394831658676583,-1.3963281906135598,-1.5573363700284144,1.545229693809254,2.2118426779732143,-0.33802233822787325,-0.42459776027271595,-0.4686515180168829,-0.3137095588888774,-1.554414145580558,0.9272831763151365,0.8616404368553273,0.8084304517109725,0.8900982366422079,0.17774317790608138,1.1972760534390707,0.4027777777777777,0.49394939493949397,1
2021-03-31,-0.135833481778183,1,2021,1.0183612740332415,0.4675351979995215,0.8972642649477338,1.5075686074042354,1535,-1.3057987706733347,0.09559075535157176,0.14829584447428465,-1.568495135838949,1.7287408100394726,-0.20242080447485794,-1.330820926101405,0.109,0.8851644140353485,0.709,1.4016295930486986,-0.33142691874247937,0.626,-1.4815354430477765,1.4688575583238648,-0.8782337008258516,0.061959518551904666,0.1,0.126,13.3,0.32,12.3,0.004,0.075,VIB,1.7002620065421925,-0.17984224843854785,0.09685726473744186,0.7542035688481786,-0.7603767374628309,0.4811283094396727,0.060067237854583455,0.126391010169898,-0.08450558455696827,-0.22438879358375877,-0.6649900410476347,-0.24870667731730828,-0.1793554783362183,1.2626214319007991,0.8616404368553298,1.2995900846372612,1.6212503595983074,0.09774959526451847,1.570332453905713,0.49394939493949397,0.43078055964653905,1
2021-06-30,1.315826166613761,2,2021,1.3094421684337956,1.0334988587357863,2.090733841456525,2.812507025641235,1738,-1.1230054765552373,0.6952054934659915,0.5466379668577681,-1.568495135838949,1.9597604018265422,-0.5349692689692637,-1.185064348480775,0.115,0.0661329734624126,0.693,-0.05660862653669108,-1.706033647297331,0.637,-1.6855792465813026,1.6204776979631705,-0.058548913388393145,0.8583215658219949,0.1,0.133,13.2,0.331,12.2,0.005,0.089,VIB,1.700262006542196,-0.17984224843854785,-0.5275785859562178,0.3983741927762174,-0.44240101088746314,0.18991906951566032,-1.6323271886983972,0.27384718870144575,0.5281599034810521,0.821146921347462,0.29706872180305144,-1.743772953463391,-0.6377083674176655,1.2626214319007991,1.5694165099864934,1.5100870701770979,1.621250359598308,0.5524499597534024,1.311857952194721,0.43078055964653905,-0.2851260936695831,0
2021-09-30,-0.058907927760831987,3,2021,0.6884695937126135,0.4675351979995215,0.6486247698417354,0.9483092853026647,1672,-1.0052374649297438,0.6952054934659915,-1.7687256194962273,-1.049424803115268,0.714821490529557,-0.5349692689692637,-0.8935511932395149,0.118,2.6402317866916385,0.692,-0.1086885629504552,-1.2998998411333988,0.628,-1.0734478359807247,0.7107568601273373,-2.6347011024775466,-1.0487559684300622,0.1,-0.038,12.9,0.332,11.9,0.003,0.053,VIB,0.15660307954993896,1.001978241300481,1.919534882978393,-1.6476447196375577,0.19355044226326582,0.4811283094396727,0.33637653198568424,-1.3481707751455783,-1.9225020486710283,-2.0485149345275895,-1.8430211792321478,0.011304848968968237,1.1957031889081224,-1.8895581706044298,-1.2616877825381616,-2.208693007693372,-2.5219450038195896,-0.20538398106140413,-1.6174918550211517,-0.2851260936695831,0.33765298776097885,1
2021-12-31,1.1049012604371535,4,2021,0.863118130352946,0.4675351979995215,1.4442711541809299,1.8804081554719498,1883,-0.7790939824832437,0.295462334723045,1.0943583851350571,-0.7898896367534277,0.3682921028489524,-1.2000661979580773,-0.8935511932395149,0.121,-2.2505559584438894,0.679,-0.5253280542605682,0.5745638796232263,0.585,-0.8694040324471988,-0.281665872057208,2.2541331654530046,1.3612870693609982,0.1,0.126,12.7,0.348,11.7,0.005,0.096,VIB,-0.8725028717782324,0.41106799643096603,-3.464114748677749,-0.4022419033856954,-1.0783524640381965,-0.10129017040835216,1.959693635005905,-1.4745617853154762,3.4647289668356978,2.534045858575204,2.240820099807498,-0.44371532203201564,0.27899741074522805,0.8602155251980039,0.15386436372416593,0.9487617754041973,1.1338156109609079,1.0576725869632733,0.93079816809325,0.33765298776097885,-0.004843918191603902,0
2022-03-31,1.0825680350772775,1,2022,0.7854965585127982,0.4675351979995215,1.145903760053732,1.5075686074042354,1993,-0.5963006883651463,0.295462334723045,-1.2707979665168736,-0.6601220535725074,0.4196297899127457,-1.532614662452483,-0.8935511932395149,0.121,0.04273207516032873,0.673,-1.0461274183982094,0.699528127673668,0.578,-0.8694040324471988,-0.04734383806919057,-0.029274456694198196,0.6487526060140765,0.1,0.059,12.8,0.351,11.8,0.005,0.071,VIB,0.15660307954993896,0.1156128739962096,1.7170151476182862,0.14929362952584452,-0.44240101088746314,-0.10129017040835216,0.025528576088199695,0.4002381988713432,-1.7112380872786064,-0.7805248121641941,-1.8822888838382983,-0.5737210851751539,-0.1793554783362183,-0.011663939324718865,0.15386436372416593,-0.594882785221281,-0.5722060092699913,0.5524499597534024,-0.47063208929703576,-0.004843918191603902,-0.3834505137912384,0
2022-06-30,-0.6767938293840698,2,2022,0.7078749866726505,0.4675351979995215,-0.843212200794255,-0.35662913293433474,2134,-0.35895840726714223,0.295462334723045,-0.10066798201539179,-0.6601220535725074,0.714821490529557,-1.3663404302052808,-0.4562814603776249,0.127,-0.5890921789959348,0.668,-1.254447164053266,-0.5501143528307488,0.594,-0.6653602289136726,0.035358056279521606,0.5854891338838957,1.38224396534179,0.1,0.07,12.3,0.359,11.3,0.004,0.086,VIB,0.15660307954993896,-0.17984224843854785,-0.39256542904947955,0.48733153679420765,0.5115261688386292,0.7723375493636851,-1.4941725416328544,0.16852134689319734,0.38027513050635753,0.7544105991178084,0.9057181431983834,-0.18370379574573917,0.2789974107452288,-0.011663939324718865,0.15386436372416593,-2.980515288006113,-2.5219450038195896,1.1881884323258234,-2.019816124245117,-0.3834505137912384,0.023684210526315752,1
2022-09-30,-0.6097941533044418,3,2022,1.173604417713537,1.5994625194720502,-1.1415795949214527,-0.5430489069681915,2464,-0.12233862930794492,1.094948652208938,-0.7479739308885517,-0.7898896367534277,0.7019870687636086,-0.8675177334636704,0.7097711605874133,0.135,0.2299392615769998,0.693,0.09963118270460129,1.6680010500645874,0.579,-0.6653602289136726,-0.07491113618542795,-0.2341956535535628,1.528942237207333,0.1,0.155,11.2,0.339,10.2,0.004,0.079,VIB,2.2148149822062817,-0.47529737087330526,0.6537865369777318,0.060336285507854207,1.1474776219893625,2.2283837489837435,2.3396189144361648,-0.12639101016989812,-0.6549182803165045,0.13153825830772067,-0.527553074926108,1.7663826514013348,-0.1793554783362183,1.866230291954992,2.984968656248819,-0.594882785221281,-0.32848863495129077,1.1797680552056589,-0.3539005741295603,0.023684210526315752,-0.13624678663239076,0
2022-12-31,-1.0043478013289189,4,2022,0.7466857725927244,1.3164806891039178,-1.439946989048651,-0.9158884550359054,2487,0.10813987197139534,0.8950770728374647,-0.8973522267823579,-0.530354470391587,0.6891526469976603,-0.20242080447485794,1.5843106263111935,0.141,-0.40188499257926374,0.7,0.7766703560835349,0.5120817555980054,0.604,-0.46131642538014656,-0.8054445362657181,0.409842393718726,1.3193732773994145,0.1,0.009,10.5,0.335,9.5,0.003,0.071,VIB,-0.35794989611414674,0.4110679964309671,-0.39256542904947955,0.060336285507854207,1.465453348564726,1.6459652691357227,-1.390556556333688,-1.0743235864441325,0.40140152664559964,-0.24663423432697623,-0.13487602886460381,0.921345190970936,0.2789974107452288,-1.2188816594331044,-0.5539117094069979,-0.5948827852212817,-0.5722060092699908,1.1081948496842604,-1.008306890266738,-0.13624678663239076,0.17658730158730163,1
