time,Close,quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,Ticker,NIM (%)_Diff_QoQ,NPL (%)_Diff_QoQ,CIR (%)_Diff_QoQ,Provision_Coverage (%)_Diff_QoQ,Cost_of_Funds (%)_Diff_QoQ,Equity_Ratio (%)_Diff_QoQ,Loan_to_Deposit (%)_Diff_QoQ,Credit_Growth (%)_Diff_QoQ,Pre_Provision_ROA (%)_Diff_QoQ,Post_Tax_ROA (%)_Diff_QoQ,Non_Interest_Income (%)_Diff_QoQ,Loan_to_Asset (%)_Diff_QoQ,NPL_to_Asset (%)_Diff_QoQ,ROE (%)_Diff_QoQ,ROA (%)_Diff_QoQ,P/E_Diff_QoQ,P/B_Diff_QoQ,BVPS (VND)_Diff_QoQ,Close_Pct_Change_QoQ,Quarterly_Return,Target_Return_t+1Q,Target_Direction_t+1Q
2020-06-30,-2.1775808771747127,2,2020,1.2399605784560837,0.6544676793865333,-1.8995780214793363,-0.6744394076342266,1268,-1.5826089289531797,1.6026345952711232,-1.2472852057699921,-1.446644433068667,-0.4295312994032452,1.6822044071492148,-1.6847539829616427,0.176,0.9981486442361438,0.729,-0.6065677339633322,-1.9731079338264754,0.639,-1.5997551582530507,-1.746919618015812,-0.4980397846711986,0.8466530718517343,0.1,0.098,8.4,0.306,7.4,0.052,0.066,VPB,-0.730496146506463,0.3943766455611018,-0.9974958974458946,-0.6602321838349647,0.19875955882342197,0.453159574650774,-1.2478634911759379,-1.661481270358375,0.6115942008334058,0.9078450212276767,-0.6190005739767132,0.06866266513535059,0.5709423257261756,0.4732249911792999,0.3336641196937159,0.1054378445861016,0.24032064142554904,-0.28105565758157525,0.5495431771188016,0.20614828209764902,0.16191904047976013,1
2020-09-30,-1.9737250356543243,3,2020,1.0075165577925296,0.5024196326603688,-1.6121418734923316,-0.4805380779393866,1264,-1.5230958432613828,1.3668525332802757,-0.8054693628339405,-1.0159282911841452,-0.5738705509884267,1.4498278223778513,-1.6273475509496163,0.179,1.2401240731418761,0.724,-0.7188498899484967,-1.8845298938563875,0.629,-1.1069734353983163,-1.7108089368764796,-0.7114854066731385,-0.26264593745988707,0.1,-0.003,8.3,0.312,7.3,0.051,0.047,VPB,-0.4134883848149793,0.8368480039955073,0.3184645992927909,-0.20486996056417422,-0.28244779411749477,0.003906548057334323,-0.05690211998066418,-0.24007097039512984,-0.20751740520999146,-0.9830614680731299,0.3032350989926409,-0.49986420218534966,0.9076519024364862,-0.3764689520905954,-0.19559620809631634,0.25094207011492176,0.24032064142554838,-0.37679053656930805,0.3379351967887284,0.16191904047976013,0.369032258064516,1
2020-12-31,-1.4338845664429256,4,2020,0.9538756299470941,0.5024196326603688,-0.8935515035248199,0.29506724083997476,1312,-1.4419987863503783,1.3668525332802757,-0.5617088977657743,-1.2312863621264059,-0.9908506111233945,0.9850746528351245,-1.2829089588774578,0.182,0.15123464306608264,0.748,-0.10129803203009433,-0.9396974675087706,0.6,-1.2712340096832278,-1.2654438694913819,-0.04743236044488082,0.13525479414102087,0.1,0.038,7.9,0.289,6.9,0.052,0.062,VPB,0.5375349002594719,-0.49056607130771057,-0.7740309074336635,-0.5414420386338878,-0.7636551470584115,0.4531595746507753,1.0817093008324024,0.6893126872731455,0.375312006782427,0.27419018704708764,0.1533718021351207,1.142546747852222,-0.43918640440475126,0.02814721137125945,0.06903395579869977,0.8329589722302029,1.1615497668901529,-0.2647372122995753,1.328836421173437,0.369032258064516,0.3732327992459945,1
2021-03-31,-0.6864131475348347,1,2021,1.0611574856379653,0.6544676793865333,-0.13903161505893266,1.264573889314176,1424,-1.357548879541244,1.2882585126166597,-0.698824159366618,-1.123607326655275,-1.2153783358114545,0.4041331909067168,-1.1680960948534052,0.186,-0.5444447150378976,0.743,-0.213580188015259,-0.44759724545272006,0.574,-1.2712340096832278,-1.133038038647164,0.4031750637814369,0.36434915475972474,0.1,0.085,7.8,0.292,6.8,0.053,0.061,VPB,0.2205271385679882,0.17314096634389836,-0.4512481440826666,-0.3038617482317374,-1.004258823528868,0.09375715337602251,0.4796848714369887,-0.021392462708477392,0.2335426903518387,0.13337800167362265,-0.13482684566780243,-0.49986420218534966,-0.10247682769444187,0.39230175848692983,0.3336641196937159,0.8814603807398095,1.4686261420450204,-0.2473308706654421,1.3489332621589818,0.3732327992459945,0.5168153740562802,1
2021-06-30,0.7349150808434289,2,2021,1.1505590320470247,0.9585637728388622,1.298149124876091,2.815784526872898,1558,-1.251515001512902,1.4454465539438914,0.20004255557224615,-1.123607326655275,-1.0870767788468487,-0.06061997863600925,-0.881063934793273,0.193,-0.5746916436511132,0.751,-0.2697212660078413,-0.10312709001348579,0.564,-1.2712340096832278,-1.024705995229167,0.4031750637814369,0.8828258656336351,0.2,0.094,7.5,0.281,6.5,0.056,0.072,VPB,1.1715504236424394,-0.04809471287330511,0.09499960928056198,0.13170211750554056,-0.7636551470584099,0.36330896933208706,0.2833725575037001,-0.07606208963013994,-0.06574808877940318,0.3747703194567051,0.649073476356149,-0.3735248983363052,-0.10247682769444187,0.3518401421407442,0.5982942835887319,1.802987142422338,2.3898552675096236,-0.13527754639570938,2.0358819312925593,0.5168153740562802,-0.026696832579185537,0
2021-09-30,0.6235493896424761,3,2021,0.9538756299470941,0.6544676793865333,1.1903605693809645,2.427981867483218,1547,-1.1903254908720404,1.0524764506258133,0.6266233694415374,-0.5852121492996227,-0.41349360478266944,-0.6415614405644178,-1.0532832308293523,0.196,-0.3327162147453818,0.723,-0.9995552799114084,-0.15233711221908974,0.545,-0.9427128611134055,-1.1450749323602747,0.28459416266924803,-0.5640858856423927,0.1,-0.007,7.7,0.311,6.7,0.056,0.039,VPB,-1.0475039081979423,1.0580836832127107,0.3184645992927902,0.804846273644969,-1.0042588235288696,-0.35549587321741843,-0.2401269463183959,-0.5954235453859413,-0.14450882012973001,-1.2646858388200586,0.291707153080524,-1.8895965445248322,0.5709423257261756,-0.2955457193982253,-0.46022637199133243,-0.28257342349075193,-0.680908484039054,-0.36808736575224144,-0.564468337529481,-0.026696832579185537,-0.02231520223152028,0
2021-12-31,0.5329467934111922,4,2021,0.2565435679564313,0.19832353920804044,1.2622196063777156,0.8767712299244952,1488,-0.5530744571088225,0.5023183059805022,0.1391024393052045,-0.04681697194397042,1.511029749686415,-1.106314610107144,0.5540968655073853,0.243,0.15123464306608264,0.715,-1.3644722868631936,1.2550695228612136,0.487,-0.44993113825867115,-0.17008654159830375,-0.04743236044488082,-0.6605466690607946,0.2,-0.038,6.3,0.332,5.3,0.043,0.387,VPB,-1.681519431580914,1.0580836832127107,0.5171001459703283,2.349118161258953,-0.7636551470584099,2.429872891661913,1.6968212178233675,1.8920444795497375,-0.28627813656031825,-0.1381883558323439,-0.39996960164649165,-1.06839106950605,0.9076519024364862,-1.428470977091421,-0.7248565358863477,-0.04006638094271901,-2.523366734968263,2.6225397062622755,-0.5435051033770013,-0.02231520223152028,0.0389919163100334,1
2022-03-31,0.6877262286396353,1,2022,1.3651227434287667,1.8708520531958484,-0.21089065205568358,0.6828699002296552,2177,-0.3219373672565274,0.4237242853168863,3.627924095593337,0.27622013446942145,1.9440475044419594,-1.2225029024928256,1.1855676176396757,0.254,-2.691976646576269,0.725,-0.9434142019188261,0.24134306542575065,0.531,0.042850584596062564,0.08268822637702186,1.7549973364603901,2.75175354436517,0.2,0.463,5.9,0.331,4.9,0.035,0.101,VPB,0.2205271385679882,0.6156123247783053,-2.214138620845809,0.5078709106422806,-0.041844117647036376,0.9024126012442161,-1.5227007306825382,0.25195567189983914,1.1314150277455644,2.7886934972875217,2.6088242814160263,0.7003591843805731,0.907651902436485,2.658152273873321,2.979965758643875,-2.125626946855809,-0.37383210888418655,0.514196575827887,-0.25019065664709195,0.0389919163100334,-0.22013729977116714,0
2022-06-30,-0.2201872877613541,2,2022,1.0253968670743416,1.414707913017355,-0.8935515035248199,-0.09273541854970611,2113,-0.23413461054926388,0.3451302646532704,-0.135128083896483,0.8146153118250739,1.6874443905127479,-1.2225029024928256,0.7837225935554909,0.251,0.36296314335859836,0.708,-1.476754442848358,-0.12281109889572782,0.533,0.37137173316588545,0.32342610063923705,-0.23716180222438302,-0.11795476233228416,0.2,-0.029,6.2,0.347,5.2,0.034,0.035,VPB,0.2205271385679882,1.0580836832127107,2.6276028294191613,-0.3434584632987626,0.19875955882342197,-0.7148982944921712,-0.658926549376078,0.22462085843900823,-1.3889283754648938,-2.451531401253543,-2.8784779727516314,-1.4474089810531834,0.5709423257261768,-0.619238650167709,-0.7248565358863486,-1.0585959596444605,-1.295061234348791,-0.22992452903130886,-1.4899543978657521,-0.22013729977116714,-0.06924882629107976,0
2022-09-30,-0.44291867016325986,3,2022,1.2220802691742723,1.718804006469684,-1.3247057255053267,-0.4805380779393866,2311,-0.1327109011308497,0.7381003679713497,0.12386741023844408,0.4915782054116827,1.6874443905127479,-0.9901263177214621,1.3577869136757532,0.254,0.2722223575189488,0.751,-0.6065677339633322,1.0779134429210353,0.518,0.37137173316588545,0.3956474629179016,-0.3794588835590097,0.03879401072261895,0.2,0.094,5.8,0.3,4.8,0.039,0.039,VPB,2.1225737087168906,-0.711801750524914,0.04534072261117693,-0.02668474276256051,0.6799669117643387,0.8125619959255255,1.4219839783167667,-0.1580665300126349,-0.16026096639979537,0.07302992222785273,0.16489974804723795,1.7110736151729293,-0.10247682769444187,0.5946098402178578,0.5982942835887319,-0.719086100077213,-0.6809084840390547,-0.15921126614264258,-0.7680517841140598,-0.06924882629107976,-0.00567465321563676,0
