quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
3,2025,0.204,0.02,7.5,1.4,3384,17796,0.032,0.193,0.011,0.84,0.039,0.096,0.137,0.324,0.725,0.705,1.172,0.619,0.008,0.206,0.538,0.511,0.1,0.024,10.4,0.311,9.4,0.003,0.048,2025-07-01,ACB
2,2025,0.21,0.02,6.4,1.3,3304,16978,0.032,0.281,0.013,0.763,0.036,0.093,0.138,0.294,0.697,0.679,1.117,0.624,0.009,0.152,0.565,0.525,0.1,0.025,10.7,0.341,9.7,0.003,0.002,2025-04-01,ACB
1,2025,0.205,0.02,6.7,1.3,3224,16951,0.035,0.197,0.015,0.721,0.035,0.098,0.145,0.34,0.689,0.672,1.088,0.633,0.01,0.183,0.528,0.465,0.1,-0.014,10.2,0.352,9.2,0.002,0.043,2025-01-01,ACB
4,2024,0.217,0.021,6.6,1.3,3268,16248,0.036,0.173,0.015,0.779,0.033,0.097,0.144,0.32,0.69,0.672,1.081,0.638,0.01,0.191,0.545,0.531,0.1,0.033,10.4,0.351,9.4,0.0,0.058,2024-10-01,ACB
3,2024,0.223,0.023,6.8,1.4,3163,15351,0.039,0.154,0.015,0.805,0.037,0.101,0.142,0.361,0.733,0.714,1.084,0.677,0.011,0.234,0.511,0.476,0.1,-0.01,9.9,0.307,8.9,0.0,0.054,2024-07-01,ACB
2,2024,0.239,0.023,6.2,1.4,3196,14560,0.038,0.178,0.015,0.778,0.039,0.097,0.136,0.285,0.735,0.715,1.075,0.684,0.011,0.268,0.571,0.516,0.1,0.038,10.3,0.304,9.3,0.001,0.0,2024-04-01,ACB
1,2024,0.23,0.024,6.5,1.4,3078,14560,0.039,0.177,0.015,0.786,0.044,0.103,0.148,0.338,0.717,0.696,1.027,0.698,0.01,0.231,0.528,0.478,0.1,-0.014,9.7,0.325,8.7,0.002,0.054,2024-01-01,ACB
4,2023,0.248,0.024,5.4,1.2,3123,13813,0.039,0.249,0.012,0.912,0.048,0.099,0.146,0.36,0.7,0.678,1.01,0.693,0.008,0.179,0.509,0.478,0.1,0.076,10.1,0.341,9.1,0.003,0.062,2023-10-01,ACB
3,2023,0.243,0.025,5.3,1.2,2902,13009,0.043,0.263,0.012,0.946,0.051,0.103,0.149,0.34,0.717,0.694,1.01,0.71,0.008,0.118,0.529,0.479,0.1,0.031,9.7,0.326,8.7,0.005,0.063,2023-07-01,ACB
2,2023,0.252,0.025,5.5,1.3,2814,12238,0.044,0.222,0.011,1.076,0.047,0.1,0.145,0.31,0.711,0.688,1.004,0.708,0.007,0.097,0.552,0.482,0.1,-0.005,10.0,0.33,9.0,0.005,0.005,2023-04-01,ACB
1,2023,0.263,0.026,5.2,1.2,2829,12173,0.044,0.215,0.01,1.166,0.042,0.102,0.152,0.317,0.699,0.673,0.973,0.718,0.007,0.082,0.548,0.522,0.1,0.062,9.8,0.344,8.8,0.004,0.07,2023-01-01,ACB
4,2022,0.265,0.024,4.8,1.1,2664,11376,0.043,0.186,0.007,1.593,0.035,0.096,0.141,0.513,0.707,0.681,0.999,0.707,0.005,0.143,0.387,0.362,0.1,0.033,10.4,0.337,9.4,0.003,0.049,2022-10-01,ACB
3,2022,0.27,0.025,5.0,1.2,2578,10850,0.043,0.149,0.01,1.378,0.034,0.099,0.139,0.356,0.746,0.717,1.026,0.727,0.007,0.195,0.516,0.506,0.1,0.126,10.1,0.296,9.1,0.001,0.07,2022-07-01,ACB
2,2022,0.254,0.023,6.1,1.4,2289,10136,0.041,0.19,0.008,1.851,0.034,0.096,0.132,0.329,0.754,0.728,1.019,0.74,0.006,0.158,0.539,0.57,0.1,0.13,10.4,0.288,9.4,0.001,0.08,2022-04-01,ACB
1,2022,0.242,0.021,7.7,1.7,2026,9384,0.041,0.206,0.008,1.878,0.034,0.091,0.127,0.4,0.744,0.719,0.984,0.756,0.006,0.172,0.48,0.48,0.1,0.084,11.0,0.297,10.0,0.001,0.074,2022-01-01,ACB
4,2021,0.239,0.02,8.7,1.9,1869,8741,0.04,0.197,0.008,2.094,0.034,0.085,0.124,0.405,0.711,0.686,0.953,0.746,0.005,0.162,0.477,0.407,0.1,-0.012,11.8,0.333,10.8,0.001,0.057,2021-10-01,ACB
3,2021,0.258,0.022,7.8,1.8,1893,8270,0.042,0.206,0.008,1.977,0.038,0.089,0.126,0.396,0.728,0.702,0.92,0.792,0.006,0.131,0.485,0.37,0.1,0.003,11.3,0.316,10.3,0.001,0.052,2021-07-01,ACB
2,2021,0.272,0.022,8.9,2.1,1887,7861,0.042,0.199,0.007,2.077,0.041,0.086,0.118,0.256,0.753,0.725,0.953,0.79,0.005,0.204,0.593,0.416,0.1,0.124,11.7,0.287,10.7,0.001,0.065,2021-04-01,ACB
