time,Open,High,Low,Close,Volume,Ticker
2010-01-04,3.79,4.05,3.76,3.97,2765900,ACB
2010-01-05,3.98,4.06,3.86,3.97,1929200,ACB
2010-01-06,3.93,3.98,3.83,3.86,1303300,ACB
2010-01-07,3.92,3.94,3.81,3.86,1342000,ACB
2010-01-08,3.81,3.95,3.74,3.83,1461300,ACB
2010-01-11,3.87,3.87,3.79,3.81,786800,ACB
2010-01-12,3.78,3.78,3.66,3.71,1111200,ACB
2010-01-13,3.72,3.88,3.65,3.77,1390700,ACB
2010-01-14,3.81,3.82,3.7,3.77,679500,ACB
2010-01-15,3.76,3.78,3.69,3.71,383800,ACB
2010-01-18,3.74,3.74,3.55,3.6,872900,ACB
2010-01-19,3.61,3.66,3.58,3.63,570500,ACB
2010-01-20,3.65,3.65,3.55,3.58,386300,ACB
2010-01-21,3.52,3.59,3.45,3.5,1456200,ACB
2010-01-22,3.54,3.58,3.52,3.54,738100,ACB
2010-01-25,3.54,3.54,3.5,3.52,1375400,ACB
2010-01-26,3.58,3.71,3.58,3.66,908700,ACB
2010-01-27,3.67,3.67,3.51,3.55,409900,ACB
2010-01-28,3.51,3.58,3.5,3.52,812000,ACB
2010-01-29,3.46,3.54,3.46,3.52,1264800,ACB
2010-02-01,3.5,3.55,3.49,3.53,644100,ACB
2010-02-02,3.55,3.55,3.5,3.52,750200,ACB
2010-02-03,3.52,3.54,3.51,3.53,662000,ACB
2010-02-04,3.55,3.6,3.55,3.57,711400,ACB
2010-02-05,3.52,3.54,3.5,3.51,548700,ACB
2010-02-08,3.54,3.62,3.51,3.57,686500,ACB
2010-02-09,3.54,3.55,3.49,3.51,393300,ACB
2010-02-10,3.53,3.53,3.51,3.52,359100,ACB
2010-02-11,3.56,3.66,3.53,3.6,658300,ACB
2010-02-12,3.6,3.62,3.57,3.6,430500,ACB
2010-02-22,3.68,3.71,3.63,3.66,392200,ACB
2010-02-23,3.62,3.63,3.56,3.58,218700,ACB
2010-02-24,3.44,3.62,3.44,3.58,447900,ACB
2010-02-25,3.59,3.6,3.53,3.55,453700,ACB
2010-02-26,3.58,3.69,3.58,3.66,1240500,ACB
2010-03-01,3.72,3.75,3.67,3.73,872400,ACB
2010-03-02,3.8,3.8,3.66,3.69,913700,ACB
2010-03-03,3.7,3.78,3.7,3.74,857900,ACB
2010-03-04,3.83,3.84,3.7,3.72,831700,ACB
2010-03-05,3.74,3.74,3.71,3.72,589400,ACB
2010-03-08,3.73,3.75,3.7,3.72,680200,ACB
2010-03-09,3.72,3.72,3.66,3.7,720800,ACB
2010-03-10,3.71,3.71,3.66,3.68,919900,ACB
2010-03-11,3.7,3.7,3.65,3.66,633600,ACB
2010-03-12,3.7,3.71,3.68,3.69,743100,ACB
2010-03-15,3.65,3.72,3.6,3.66,988300,ACB
2010-03-16,3.73,3.73,3.64,3.66,815800,ACB
2010-03-17,3.66,3.67,3.64,3.66,982200,ACB
2010-03-18,3.69,3.69,3.66,3.67,824500,ACB
2010-03-19,3.68,3.68,3.65,3.66,885400,ACB
2010-03-22,3.66,3.68,3.61,3.66,973800,ACB
2010-03-23,3.66,3.66,3.61,3.65,904400,ACB
2010-03-24,3.65,3.67,3.6,3.66,888300,ACB
2010-03-25,3.67,3.67,3.64,3.66,1398600,ACB
2010-03-26,3.64,3.65,3.62,3.64,1165900,ACB
2010-03-29,3.64,3.64,3.62,3.62,690200,ACB
2010-03-30,3.66,3.69,3.59,3.65,1187300,ACB
2010-03-31,3.6,3.6,3.56,3.58,597600,ACB
2010-04-01,3.62,3.68,3.58,3.65,696900,ACB
2010-04-02,3.65,3.65,3.59,3.62,522800,ACB
2010-04-05,3.66,3.66,3.62,3.64,362300,ACB
2010-04-06,3.65,3.66,3.62,3.64,513600,ACB
2010-04-07,3.61,3.62,3.6,3.61,366200,ACB
2010-04-08,3.65,3.66,3.61,3.62,453500,ACB
2010-04-09,3.62,3.62,3.6,3.61,797700,ACB
2010-04-12,3.6,3.61,3.57,3.59,729900,ACB
2010-04-13,3.59,3.59,3.54,3.56,652500,ACB
2010-04-14,3.55,3.57,3.48,3.51,917800,ACB
2010-04-15,3.52,3.56,3.52,3.55,775900,ACB
2010-04-16,3.55,3.58,3.52,3.54,654400,ACB
2010-04-19,3.55,3.55,3.49,3.51,724300,ACB
2010-04-20,3.51,3.52,3.45,3.47,775800,ACB
2010-04-21,3.53,3.56,3.49,3.51,721700,ACB
2010-04-22,3.55,3.73,3.53,3.6,982200,ACB
2010-04-26,3.65,3.65,3.53,3.55,518100,ACB
2010-04-27,3.55,3.55,3.52,3.54,324600,ACB
2010-04-28,3.54,3.55,3.49,3.5,706800,ACB
2010-04-29,3.55,3.57,3.5,3.53,1688600,ACB
2010-05-04,3.57,3.75,3.53,3.69,1551000,ACB
2010-05-05,3.69,3.71,3.58,3.62,503500,ACB
2010-05-06,3.61,3.64,3.54,3.59,497900,ACB
2010-05-07,3.57,3.57,3.53,3.54,761100,ACB
2010-05-10,3.5,3.53,3.4,3.49,1246200,ACB
2010-05-11,3.53,3.59,3.46,3.49,1309500,ACB
2010-05-12,3.5,3.5,3.44,3.45,1415500,ACB
2010-05-13,3.45,3.5,3.44,3.45,746000,ACB
2010-05-14,3.45,3.47,3.44,3.45,729900,ACB
2010-05-17,3.43,3.44,3.41,3.43,1088800,ACB
2010-05-18,3.45,3.5,3.4,3.44,944100,ACB
2010-05-19,3.42,3.44,3.41,3.42,1287200,ACB
2010-05-20,3.45,3.48,3.37,3.42,701000,ACB
2010-05-21,3.4,3.4,3.27,3.3,1369600,ACB
2010-05-24,3.27,3.35,3.26,3.29,961500,ACB
2010-05-25,3.28,3.28,3.23,3.26,857400,ACB
2010-05-26,3.28,3.31,3.26,3.29,548700,ACB
2010-05-27,3.29,3.29,3.26,3.27,518000,ACB
2010-05-28,3.3,3.4,3.28,3.3,476600,ACB
2010-05-31,3.34,3.34,3.27,3.29,210800,ACB
2010-06-01,3.27,3.32,3.26,3.29,227700,ACB
2010-06-02,3.3,3.31,3.27,3.29,500800,ACB
2010-06-03,3.31,3.31,3.28,3.29,458600,ACB
2010-06-04,3.23,3.29,3.23,3.27,405000,ACB
2010-06-07,3.21,3.23,3.1,3.18,246800,ACB
2010-06-08,3.19,3.22,3.19,3.21,358400,ACB
2010-06-09,3.22,3.22,3.19,3.2,199600,ACB
2010-06-10,3.2,3.23,3.16,3.19,247600,ACB
2010-06-11,3.23,3.24,3.2,3.21,288000,ACB
2010-06-14,3.2,3.2,3.18,3.19,176600,ACB
2010-06-15,3.21,3.22,3.19,3.2,455200,ACB
2010-06-16,3.21,3.24,3.19,3.2,417400,ACB
2010-06-17,3.2,3.2,3.18,3.19,218800,ACB
2010-06-18,3.19,3.21,3.19,3.2,378500,ACB
2010-06-21,3.19,3.2,3.18,3.19,235000,ACB
2010-06-22,3.19,3.2,3.18,3.19,399700,ACB
2010-06-23,3.19,3.19,3.18,3.19,339900,ACB
2010-06-24,3.2,3.21,3.16,3.19,338500,ACB
2010-06-25,3.19,3.19,3.13,3.16,296700,ACB
2010-06-28,3.18,3.2,3.18,3.19,399900,ACB
2010-06-29,3.2,3.25,3.19,3.21,428000,ACB
2010-06-30,3.2,3.21,3.16,3.19,588000,ACB
2010-07-01,3.18,3.21,3.16,3.19,365100,ACB
2010-07-02,3.19,3.19,3.16,3.19,588500,ACB
2010-07-05,3.16,3.21,3.16,3.19,637600,ACB
2010-07-06,3.19,3.24,3.18,3.2,452300,ACB
2010-07-07,3.2,3.22,3.18,3.18,148000,ACB
2010-07-08,3.23,3.23,3.16,3.19,246200,ACB
2010-07-09,3.21,3.21,3.18,3.19,167300,ACB
2010-07-12,3.19,3.2,3.18,3.19,245000,ACB
2010-07-13,3.27,3.32,3.21,3.24,405300,ACB
2010-07-14,3.26,3.35,3.23,3.3,808000,ACB
2010-07-15,3.27,3.29,3.25,3.28,485500,ACB
2010-07-16,3.29,3.29,3.27,3.28,381100,ACB
2010-07-19,3.24,3.28,3.24,3.27,278500,ACB
2010-07-20,3.22,3.23,3.16,3.21,535100,ACB
2010-07-21,3.23,3.25,3.21,3.23,388500,ACB
2010-07-22,3.21,3.23,3.19,3.21,293000,ACB
2010-07-23,3.19,3.2,3.16,3.18,269600,ACB
2010-07-26,3.16,3.18,3.16,3.18,327000,ACB
2010-07-27,3.16,3.18,3.16,3.18,572300,ACB
2010-07-28,3.16,3.16,3.14,3.16,211800,ACB
2010-07-29,3.16,3.16,3.13,3.16,327200,ACB
2010-07-30,3.14,3.16,3.12,3.13,535600,ACB
2010-08-02,3.16,3.16,3.12,3.13,292500,ACB
2010-08-03,3.13,3.14,3.12,3.13,515300,ACB
2010-08-04,3.12,3.12,3.08,3.1,330100,ACB
2010-08-05,3.12,3.12,3.07,3.09,156600,ACB
2010-08-06,3.08,3.09,3.03,3.05,241300,ACB
2010-08-09,3.09,3.1,3.05,3.07,683300,ACB
2010-08-10,3.03,3.04,2.97,3.0,444600,ACB
2010-08-11,2.99,3.01,2.97,2.99,471100,ACB
2010-08-12,2.94,2.96,2.83,2.9,566300,ACB
2010-08-13,2.9,3.01,2.88,2.96,310800,ACB
2010-08-16,3.14,3.14,2.94,3.02,280600,ACB
2010-08-17,3.01,3.1,2.95,3.0,153000,ACB
2010-08-18,2.99,3.01,2.92,2.95,247500,ACB
2010-08-19,2.94,2.98,2.94,2.96,137600,ACB
2010-08-20,2.82,2.98,2.82,2.95,165200,ACB
2010-08-23,2.97,2.97,2.92,2.92,131600,ACB
