quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2025,0.178,0.009,10.2,1.6,3639,23177,0.022,0.321,0.02,0.891,0.033,0.054,0.075,0.333,0.75,0.729,1.051,0.713,0.014,0.158,0.533,0.312,0.1,0.015,18.4,0.276,17.4,0.011,0.044,2025-04-01,BID
1,2025,0.183,0.01,10.7,1.7,3584,22204,0.023,0.221,0.019,0.968,0.034,0.055,0.074,0.33,0.76,0.738,1.066,0.713,0.014,0.175,0.538,0.333,0.1,0.001,18.3,0.266,17.3,0.012,0.076,2025-01-01,BID
4,2024,0.195,0.01,10.4,1.8,3580,20638,0.023,0.408,0.014,1.31,0.034,0.052,0.07,0.362,0.767,0.745,1.053,0.728,0.011,0.157,0.51,0.301,0.1,0.074,19.1,0.259,18.1,0.012,0.047,2024-10-01,BID
3,2024,0.189,0.01,12.2,2.1,3333,19716,0.025,0.189,0.017,1.157,0.038,0.054,0.071,0.365,0.785,0.758,1.042,0.754,0.013,0.181,0.509,0.302,0.1,0.025,18.6,0.24,17.6,0.012,0.028,2024-07-01,BID
2,2024,0.191,0.01,10.9,1.8,3252,19186,0.025,0.266,0.015,1.322,0.04,0.053,0.072,0.332,0.778,0.747,1.042,0.746,0.011,0.156,0.535,0.323,0.1,0.043,18.7,0.247,17.7,0.013,0.044,2024-04-01,BID
1,2024,0.191,0.01,13.7,2.3,3118,18375,0.025,0.211,0.015,1.528,0.046,0.055,0.072,0.314,0.797,0.77,1.034,0.771,0.012,0.123,0.549,0.345,0.1,0.016,18.0,0.232,17.0,0.012,0.05,2024-01-01,BID
4,2023,0.198,0.01,11.6,2.0,3069,17506,0.026,0.278,0.013,1.818,0.047,0.053,0.069,0.38,0.797,0.773,1.043,0.764,0.01,0.168,0.487,0.3,0.1,0.102,18.7,0.233,17.7,0.011,0.032,2023-10-01,BID
3,2023,0.186,0.009,11.5,1.9,2785,16960,0.027,0.229,0.016,1.584,0.049,0.056,0.072,0.338,0.802,0.775,1.044,0.768,0.012,0.106,0.531,0.264,0.1,-0.034,17.9,0.23,16.9,0.013,0.043,2023-07-01,BID
2,2023,0.202,0.01,10.9,1.9,2884,16257,0.028,0.215,0.016,1.515,0.045,0.054,0.07,0.369,0.791,0.767,1.054,0.75,0.012,0.098,0.504,0.322,0.1,0.013,18.6,0.241,17.6,0.013,0.039,2023-04-01,BID
1,2023,0.209,0.01,11.8,2.1,2846,15644,0.029,0.193,0.015,1.713,0.041,0.052,0.069,0.28,0.782,0.758,1.067,0.733,0.012,0.126,0.579,0.322,0.1,0.105,19.2,0.252,18.2,0.01,0.054,2023-01-01,BID
4,2022,0.198,0.009,10.9,1.9,2575,14841,0.029,0.179,0.012,2.168,0.036,0.049,0.068,0.441,0.741,0.718,1.033,0.717,0.008,0.124,0.443,0.237,0.1,0.115,20.3,0.291,19.3,0.01,0.033,2022-10-01,BID
