time,Open,High,Low,Close,Volume,Ticker
2020-01-06,26.54,26.65,26.14,26.14,794490,BID
2020-01-07,26.14,26.65,25.8,26.65,526890,BID
2020-01-08,26.25,27.34,26.14,26.88,1230830,BID
2020-01-09,27.25,28.48,27.17,28.34,1573190,BID
2020-01-10,28.34,29.68,28.31,29.28,1506410,BID
2020-01-13,28.54,29.39,28.25,28.59,544740,BID
2020-01-14,28.59,29.39,28.48,28.59,752200,BID
2020-01-15,28.48,29.28,28.48,29.11,695290,BID
2020-01-16,29.11,30.88,29.11,30.82,1004080,BID
2020-01-17,30.88,31.16,30.31,30.53,643490,BID
2020-01-20,30.53,30.93,30.36,30.42,761650,BID
2020-01-21,30.42,31.1,30.42,30.82,609600,BID
2020-01-22,30.82,31.85,30.71,31.68,781390,BID
2020-01-30,31.1,31.33,29.68,30.08,1388710,BID
2020-01-31,29.85,30.59,29.39,29.39,1154570,BID
2020-02-03,28.42,31.39,27.34,30.53,1562560,BID
2020-02-04,31.05,31.22,30.59,31.05,1406270,BID
2020-02-05,31.33,31.5,30.53,30.53,718710,BID
2020-02-06,30.76,30.88,30.25,30.36,1469930,BID
2020-02-07,30.08,30.42,29.45,29.51,1501140,BID
2020-02-10,29.05,29.22,28.02,28.02,1111680,BID
2020-02-11,28.02,29.34,28.02,28.99,917080,BID
2020-02-12,29.39,29.56,28.94,28.99,704550,BID
2020-02-13,28.94,29.11,28.48,28.76,578820,BID
2020-02-14,28.59,28.88,28.54,28.54,627040,BID
2020-02-17,28.65,29.39,28.59,29.39,863730,BID
2020-02-18,29.62,30.02,29.39,29.68,879430,BID
2020-02-19,29.68,29.74,29.22,29.28,372250,BID
2020-02-20,29.62,29.68,29.22,29.28,552810,BID
2020-02-21,29.28,29.28,27.82,28.25,2619020,BID
2020-02-24,27.51,27.85,26.42,26.42,1081210,BID
2020-02-25,25.68,27.85,25.68,27.85,878610,BID
2020-02-26,27.17,27.57,26.74,26.82,626350,BID
2020-02-27,26.82,27.22,26.51,26.88,722680,BID
2020-02-28,26.25,26.48,25.71,25.97,972320,BID
2020-03-02,26.2,26.2,25.68,25.77,568290,BID
2020-03-03,26.71,27.25,26.08,26.77,1016900,BID
2020-03-04,26.82,26.82,26.2,26.34,658350,BID
2020-03-05,26.57,26.97,26.54,26.62,872610,BID
2020-03-06,26.25,26.91,25.97,26.74,555990,BID
2020-03-09,24.94,25.51,24.88,24.88,944020,BID
2020-03-10,24.26,25.11,23.57,24.2,1366220,BID
2020-03-11,24.83,24.83,22.52,22.52,1522030,BID
2020-03-12,20.98,21.52,20.95,20.95,1531140,BID
2020-03-13,19.49,20.95,19.49,19.98,2330290,BID
2020-03-16,19.98,20.52,18.58,18.72,2191590,BID
2020-03-17,17.46,19.35,17.46,19.29,1774340,BID
2020-03-18,19.4,20.26,19.38,19.72,1743970,BID
2020-03-19,19.38,19.52,18.69,19.06,906470,BID
2020-03-20,19.18,19.43,18.78,18.89,771320,BID
2020-03-23,17.69,18.21,17.58,17.58,2728710,BID
2020-03-24,17.69,18.24,17.52,18.04,1227020,BID
2020-03-25,19.06,19.09,18.72,18.95,1611980,BID
2020-03-26,18.83,19.52,18.35,19.01,1148580,BID
2020-03-27,18.95,19.26,18.49,18.83,1128210,BID
2020-03-30,17.69,18.21,17.52,17.64,1369430,BID
2020-03-31,18.26,18.35,16.84,17.61,1018770,BID
2020-04-01,17.64,18.83,17.58,18.32,1190960,BID
2020-04-03,18.61,19.58,18.61,19.58,1547020,BID
2020-04-06,20.38,20.95,20.03,20.95,1881640,BID
2020-04-07,21.4,21.52,20.55,21.12,1793050,BID
2020-04-08,20.43,21.69,20.03,21.66,1456160,BID
2020-04-09,21.66,22.03,21.49,21.52,1349000,BID
2020-04-10,21.29,21.57,20.95,21.06,1198580,BID
2020-04-13,20.95,21.52,20.89,21.2,1056950,BID
2020-04-14,21.15,21.43,20.43,20.83,1220360,BID
2020-04-15,20.95,21.52,20.95,21.29,1107070,BID
2020-04-16,21.23,21.29,20.98,21.29,1210270,BID
2020-04-17,21.6,21.8,21.23,21.35,1151710,BID
2020-04-20,21.63,21.69,21.09,21.17,1371830,BID
2020-04-21,20.55,21.0,19.8,19.8,2238980,BID
2020-04-22,18.89,21.15,18.89,20.66,1413800,BID
2020-04-23,21.12,21.23,20.6,20.66,789930,BID
2020-04-24,20.8,20.8,20.15,20.55,592910,BID
2020-04-27,20.66,20.78,20.03,20.03,1205680,BID
2020-04-28,20.03,20.43,19.69,20.06,589490,BID
2020-04-29,19.98,20.49,19.98,20.32,595490,BID
2020-05-04,20.32,20.78,20.03,20.15,655630,BID
2020-05-05,20.15,20.43,20.09,20.15,427650,BID
2020-05-06,20.23,20.55,20.15,20.55,739320,BID
2020-05-07,20.72,21.46,20.72,21.43,2524450,BID
2020-05-08,21.66,22.43,21.43,21.69,2563570,BID
2020-05-11,21.97,22.26,21.66,21.97,1209730,BID
2020-05-12,21.86,22.06,21.66,22.0,1645960,BID
2020-05-13,21.86,22.72,21.57,22.6,2725900,BID
2020-05-14,22.26,23.12,22.26,22.66,1994890,BID
2020-05-15,22.72,22.89,21.92,22.03,1909780,BID
2020-05-18,21.94,22.2,21.69,22.2,1864370,BID
2020-05-19,22.77,22.77,22.2,22.32,1686240,BID
2020-05-20,22.26,22.43,21.97,22.34,900670,BID
2020-05-21,22.54,22.92,22.52,22.66,2474770,BID
2020-05-22,22.66,22.83,22.43,22.43,1140830,BID
2020-05-25,22.43,22.72,22.26,22.63,888300,BID
2020-05-26,22.69,23.97,22.69,23.97,2954120,BID
2020-05-27,24.4,24.4,22.72,22.72,2293240,BID
2020-05-28,22.83,23.37,22.72,23.23,1913890,BID
2020-05-29,23.06,23.12,22.72,22.89,1669730,BID
2020-06-01,23.0,23.71,22.97,23.66,1104330,BID
2020-06-02,23.69,23.91,23.12,23.14,1496600,BID
2020-06-03,23.34,23.51,23.12,23.4,896130,BID
2020-06-04,23.51,24.14,23.46,23.86,2013380,BID
2020-06-05,23.86,24.08,23.54,24.03,1216160,BID
2020-06-08,24.37,25.11,24.26,25.11,2487930,BID
2020-06-09,25.17,25.17,24.71,24.74,1119590,BID
2020-06-10,24.6,25.17,24.26,24.83,1297400,BID
2020-06-11,24.83,24.94,23.12,23.12,2386670,BID
2020-06-12,22.54,24.26,22.54,24.26,1913590,BID
2020-06-15,24.14,24.14,22.77,22.77,1503480,BID
2020-06-16,23.69,23.74,23.12,23.23,958780,BID
2020-06-17,23.23,23.46,22.74,23.0,817560,BID
2020-06-18,23.0,23.17,22.83,23.12,629450,BID
2020-06-19,23.51,23.66,23.23,23.66,720420,BID
2020-06-22,23.57,23.88,23.29,23.57,622920,BID
2020-06-23,23.43,23.6,23.12,23.23,1110100,BID
2020-06-24,23.23,23.51,22.94,23.0,692090,BID
