quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2025,0.202,0.013,9.2,1.7,5607,30507,0.027,0.243,0.013,1.348,0.031,0.063,0.086,0.28,0.748,0.728,1.104,0.677,0.01,0.209,0.581,0.466,0.1,0.167,15.9,0.281,14.9,0.01,0.064,2025-04-01,CTG
1,2025,0.183,0.011,8.6,1.4,4806,28674,0.028,0.243,0.016,1.368,0.03,0.062,0.086,0.27,0.75,0.729,1.111,0.675,0.011,0.189,0.588,0.269,0.1,0.018,16.0,0.282,15.0,0.012,0.037,2025-01-01,CTG
4,2024,0.185,0.011,8.0,1.4,4720,27654,0.029,0.234,0.012,1.747,0.031,0.062,0.086,0.309,0.743,0.722,1.072,0.693,0.009,0.169,0.557,0.464,0.1,0.17,16.1,0.289,15.1,0.012,0.053,2024-10-01,CTG
3,2024,0.166,0.011,9.2,1.4,4035,26254,0.03,0.289,0.014,1.53,0.034,0.063,0.088,0.278,0.743,0.72,1.058,0.702,0.01,0.158,0.572,0.237,0.1,0.067,15.8,0.289,14.8,0.018,0.037,2024-07-01,CTG
2,2024,0.161,0.01,8.2,1.2,3781,25320,0.03,0.219,0.016,1.138,0.037,0.063,0.087,0.258,0.753,0.727,1.071,0.703,0.011,0.156,0.594,0.275,0.1,0.008,15.9,0.274,14.9,0.02,0.041,2024-04-01,CTG
1,2024,0.167,0.01,9.5,1.5,3751,24317,0.029,0.204,0.013,1.508,0.042,0.063,0.086,0.252,0.757,0.729,1.061,0.714,0.01,0.136,0.602,0.262,0.1,0.008,15.9,0.272,14.9,0.018,0.024,2024-01-01,CTG
4,2023,0.171,0.01,7.3,1.1,3722,23756,0.029,0.211,0.011,1.672,0.045,0.063,0.087,0.341,0.755,0.725,1.044,0.723,0.008,0.156,0.526,0.333,0.1,0.103,15.9,0.272,14.9,0.02,0.046,2023-10-01,CTG
3,2023,0.16,0.01,8.0,1.2,3376,22719,0.029,0.248,0.014,1.724,0.048,0.065,0.088,0.292,0.766,0.734,1.058,0.724,0.01,0.113,0.566,0.224,0.1,0.03,15.5,0.265,14.5,0.025,0.033,2023-07-01,CTG
2,2023,0.161,0.01,8.1,1.2,3279,21985,0.03,0.282,0.013,1.689,0.045,0.063,0.087,0.267,0.764,0.731,1.038,0.736,0.009,0.098,0.589,0.296,0.1,0.033,15.8,0.265,14.8,0.023,0.045,2023-04-01,CTG
1,2023,0.163,0.01,8.2,1.2,3175,21032,0.03,0.256,0.013,1.73,0.041,0.062,0.085,0.253,0.768,0.731,1.048,0.733,0.009,0.084,0.603,0.284,0.1,0.008,16.1,0.261,15.1,0.021,0.043,2023-01-01,CTG
4,2022,0.169,0.01,7.7,1.2,3148,20168,0.03,0.255,0.012,1.884,0.037,0.06,0.085,0.369,0.75,0.705,1.021,0.735,0.009,0.127,0.504,0.248,0.1,0.086,16.7,0.276,15.7,0.017,0.021,2022-10-01,CTG
3,2022,0.155,0.01,7.2,1.1,2899,19759,0.029,0.254,0.014,2.224,0.034,0.061,0.085,0.28,0.756,0.711,1.047,0.722,0.01,0.148,0.575,0.192,0.1,0.06,16.5,0.277,15.5,0.004,0.032,2022-07-01,CTG
2,2022,0.151,0.009,8.6,1.2,2735,19140,0.028,0.246,0.013,1.896,0.032,0.061,0.083,0.268,0.774,0.732,1.027,0.753,0.01,0.15,0.592,0.294,0.1,0.195,16.5,0.256,15.5,0.006,0.046,2022-04-01,CTG
1,2022,0.13,0.008,12.7,1.6,2289,18304,0.028,0.279,0.012,1.972,0.032,0.059,0.08,0.272,0.777,0.739,1.014,0.766,0.009,0.209,0.588,0.334,0.1,-0.128,16.9,0.254,15.9,0.005,0.05,2022-01-01,CTG
4,2021,0.159,0.01,11.6,1.7,2624,17440,0.03,0.251,0.013,1.804,0.033,0.061,0.083,0.42,0.776,0.738,0.973,0.797,0.009,0.114,0.471,0.215,0.1,-0.149,16.4,0.255,15.4,0.005,-0.02,2021-10-01,CTG
3,2021,0.186,0.012,8.6,1.5,3085,17802,0.032,0.194,0.017,1.186,0.034,0.066,0.088,0.298,0.787,0.749,1.011,0.779,0.012,0.132,0.566,0.201,0.1,0.007,15.1,0.242,14.1,0.008,0.025,2021-07-01,CTG
2,2021,0.19,0.012,11.6,2.1,3062,17364,0.031,0.228,0.013,1.29,0.035,0.063,0.087,0.297,0.766,0.731,1.036,0.739,0.01,0.143,0.578,0.163,0.1,-0.074,15.8,0.261,14.8,0.008,0.015,2021-04-01,CTG
1,2021,0.21,0.014,8.2,1.6,3308,17101,0.03,0.176,0.009,1.554,0.039,0.068,0.09,0.272,0.795,0.757,1.013,0.784,0.007,0.101,0.585,0.501,0.1,0.295,14.6,0.23,13.6,0.009,0.075,2021-01-01,CTG
4,2020,0.17,0.011,9.2,1.5,2554,15902,0.028,0.22,0.009,1.32,0.041,0.064,0.084,0.434,0.791,0.757,1.025,0.771,0.007,0.086,0.455,0.412,0.1,0.25,15.7,0.234,14.7,0.013,0.025,2020-10-01,CTG
3,2020,0.14,0.009,8.7,1.1,2044,15516,0.028,0.211,0.019,0.842,0.045,0.066,0.087,0.326,0.794,0.76,1.02,0.778,0.014,0.066,0.544,0.203,0.1,-0.016,15.1,0.23,14.1,0.016,0.028,2020-07-01,CTG
2,2020,0.146,0.009,6.9,1.0,2076,15087,0.028,0.218,0.017,0.809,0.047,0.065,0.086,0.329,0.794,0.76,1.031,0.77,0.013,0.063,0.54,0.362,0.1,0.193,15.3,0.228,14.3,0.014,0.028,2020-04-01,CTG
1,2020,0.126,0.008,6.6,0.8,1740,14676,0.029,0.212,0.018,0.773,0.048,0.064,0.085,0.31,0.787,0.755,1.031,0.763,0.014,0.072,0.557,0.225,0.1,-0.116,15.5,0.235,14.5,0.019,-0.088,2020-01-01,CTG
4,2019,0.131,0.008,8.1,1.0,1968,16096,0.028,0.178,0.012,1.197,0.046,0.062,0.083,0.485,0.784,0.754,1.048,0.748,0.009,0.081,0.411,0.251,0.1,0.584,16.0,0.236,15.0,0.015,0.033,2019-10-01,CTG
3,2019,0.083,0.005,13.0,1.0,1242,15581,0.022,0.197,0.016,1.181,0.051,0.062,0.083,0.362,0.781,0.748,1.039,0.752,0.012,0.008,0.515,0.243,0.1,0.12,16.1,0.244,15.1,0.011,0.033,2019-07-01,CTG
2,2019,0.076,0.005,13.4,1.0,1109,15085,0.021,0.172,0.015,1.008,0.051,0.061,0.082,0.364,0.782,0.748,1.046,0.748,0.011,0.021,0.515,0.178,0.1,-0.008,16.3,0.238,15.3,0.011,0.034,2019-04-01,CTG
1,2019,0.079,0.005,15.3,1.2,1118,14591,0.021,0.175,0.019,1.019,0.054,0.061,0.081,0.336,0.788,0.751,1.045,0.754,0.014,0.043,0.535,0.264,0.1,0.019,16.4,0.237,15.4,0.003,0.039,2019-01-01,CTG
4,2018,0.081,0.005,13.4,1.1,1097,14039,0.02,0.855,0.016,0.962,0.053,0.058,0.078,1.86,0.777,0.743,1.047,0.742,0.012,0.094,-0.703,-0.466,0.1,-0.314,17.3,0.246,16.3,0.004,-0.035,2018-10-01,CTG
3,2018,0.117,0.007,13.2,1.4,1599,14548,0.027,0.192,0.014,1.304,0.045,0.06,0.078,0.385,0.8,0.76,1.08,0.741,0.01,0.168,0.494,0.202,0.1,-0.01,16.8,0.225,15.8,0.004,0.028,2018-07-01,CTG
2,2018,0.122,0.007,11.5,1.3,1615,14158,0.027,0.152,0.013,1.112,0.045,0.06,0.078,0.431,0.801,0.761,1.018,0.787,0.01,0.188,0.461,0.213,0.1,-0.008,16.8,0.222,15.8,0.005,0.028,2018-04-01,CTG
1,2018,0.126,0.007,16.2,1.9,1629,13769,0.028,0.181,0.012,0.976,0.045,0.059,0.08,0.391,0.781,0.742,1.047,0.746,0.009,0.184,0.491,0.276,0.1,0.053,16.8,0.24,15.8,0.008,0.039,2018-01-01,CTG
4,2017,0.118,0.007,12.0,1.4,1546,13251,0.028,0.176,0.011,0.927,0.046,0.058,0.081,0.579,0.757,0.722,1.051,0.72,0.008,0.194,0.338,0.183,0.1,0.002,17.2,0.261,16.2,0.01,0.023,2017-10-01,CTG
3,2017,0.121,0.008,9.2,1.1,1543,12959,0.026,0.154,0.012,1.007,0.045,0.059,0.082,0.443,0.751,0.718,1.053,0.713,0.009,0.22,0.45,0.257,0.1,0.024,17.1,0.266,16.1,0.006,0.032,2017-07-01,CTG
2,2017,0.121,0.008,9.9,1.2,1506,12551,0.027,0.15,0.012,0.949,0.045,0.058,0.083,0.414,0.737,0.705,1.054,0.7,0.008,0.231,0.486,0.219,0.1,0.056,17.2,0.28,16.2,0.007,0.032,2017-04-01,CTG
1,2017,0.118,0.008,9.3,1.1,1426,12165,0.027,0.202,0.011,0.937,0.044,0.059,0.084,0.403,0.742,0.707,1.047,0.708,0.008,0.261,0.478,0.264,0.1,0.017,16.9,0.275,15.9,0.006,-0.072,2017-01-01,CTG
4,2016,0.114,0.008,7.6,0.8,1403,13103,0.027,0.177,0.01,1.018,0.044,0.066,0.095,0.669,0.734,0.698,1.012,0.725,0.007,0.23,0.264,0.254,0.1,0.049,15.1,0.285,14.1,0.005,0.027,2016-10-01,CTG
3,2016,0.11,0.008,8.9,0.9,1338,12755,0.028,0.178,0.009,1.282,0.044,0.068,0.098,0.422,0.73,0.694,1.0,0.731,0.006,0.252,0.465,0.246,0.1,0.058,14.7,0.289,13.7,0.006,0.03,2016-07-01,CTG
2,2016,0.107,0.008,9.4,1.0,1264,12383,0.028,0.087,0.009,1.125,0.042,0.07,0.1,0.467,0.734,0.697,1.029,0.714,0.006,0.234,0.425,0.231,0.1,-0.046,14.3,0.285,13.3,0.008,0.026,2016-04-01,CTG
1,2016,0.112,0.009,8.7,1.0,1325,12072,0.029,0.172,0.01,1.042,0.044,0.073,0.105,0.408,0.739,0.699,1.099,0.673,0.007,0.23,0.474,0.296,0.1,0.118,13.6,0.282,12.6,0.01,0.038,2016-01-01,CTG
