time,Open,High,Low,Close,Volume,Ticker
2020-01-06,14.15,14.48,14.08,14.25,3173480,CTG
2020-01-07,14.41,14.58,14.31,14.48,4163600,CTG
2020-01-08,14.38,14.78,14.21,14.45,9864300,CTG
2020-01-09,14.58,15.08,14.58,14.98,8592300,CTG
2020-01-10,15.01,16.01,15.01,15.71,14701830,CTG
2020-01-13,15.55,16.01,15.48,15.48,5317470,CTG
2020-01-14,15.51,15.88,15.48,15.68,7040780,CTG
2020-01-15,15.68,15.81,15.51,15.75,4364850,CTG
2020-01-16,15.81,16.65,15.78,16.61,8002680,CTG
2020-01-17,16.82,16.95,16.41,16.65,6412750,CTG
2020-01-20,16.61,16.88,16.52,16.75,4737420,CTG
2020-01-21,16.82,17.22,16.75,16.88,6063350,CTG
2020-01-22,16.88,17.18,16.72,17.08,4747210,CTG
2020-01-30,16.65,16.92,16.01,16.25,11319200,CTG
2020-01-31,16.41,16.85,16.28,16.28,11815850,CTG
2020-02-03,15.68,16.82,15.51,16.78,13869450,CTG
2020-02-04,16.95,17.95,16.92,17.95,14852770,CTG
2020-02-05,18.28,18.55,17.72,17.72,11732260,CTG
2020-02-06,17.82,18.75,17.58,18.52,10566600,CTG
2020-02-07,18.35,18.45,17.78,17.95,8960350,CTG
2020-02-10,17.52,18.22,17.48,17.75,6287560,CTG
2020-02-11,17.95,18.52,17.92,18.52,6762320,CTG
2020-02-12,18.98,18.98,18.15,18.15,10390830,CTG
2020-02-13,18.25,18.42,17.68,18.18,9485770,CTG
2020-02-14,18.25,18.25,17.82,17.88,6108570,CTG
2020-02-17,17.95,18.05,17.62,17.72,5818090,CTG
2020-02-18,17.82,18.18,17.75,17.82,7231540,CTG
2020-02-19,17.88,18.15,17.88,18.02,5895360,CTG
2020-02-20,18.25,18.48,17.78,17.95,9011120,CTG
2020-02-21,17.88,17.95,17.11,17.25,12049570,CTG
2020-02-24,16.75,16.95,16.25,16.28,12317180,CTG
2020-02-25,16.28,17.42,16.25,17.42,9764100,CTG
2020-02-26,17.05,17.48,16.95,17.22,6229210,CTG
