quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2025,0.253,0.02,7.7,1.7,4088,18490,0.052,0.156,0.025,0.472,0.048,0.082,0.127,0.239,0.708,0.649,1.062,0.667,0.016,0.317,0.594,0.316,0.1,0.029,12.1,0.306,11.1,0.016,0.059,2025-04-01,HDB
1,2025,0.261,0.021,5.6,1.3,3973,17462,0.052,0.195,0.024,0.533,0.047,0.086,0.137,0.274,0.687,0.627,0.959,0.716,0.015,0.227,0.591,0.473,0.1,0.088,11.7,0.328,10.7,0.011,0.077,2025-01-01,HDB
4,2024,0.258,0.02,7.0,1.6,3651,16210,0.052,0.132,0.019,0.687,0.047,0.081,0.128,0.375,0.696,0.635,1.011,0.688,0.012,0.289,0.496,0.342,0.1,-0.018,12.3,0.317,11.3,0.009,0.057,2024-10-01,HDB
3,2024,0.281,0.023,6.3,1.5,3717,15331,0.059,0.089,0.019,0.659,0.056,0.085,0.134,0.346,0.697,0.633,1.004,0.694,0.012,0.367,0.517,0.415,0.1,0.078,11.7,0.316,10.7,0.01,0.014,2024-07-01,HDB
2,2024,0.27,0.022,5.3,1.2,3447,15114,0.054,0.069,0.021,0.588,0.062,0.085,0.137,0.365,0.693,0.618,0.999,0.694,0.013,0.344,0.499,0.392,0.1,0.086,11.8,0.314,10.8,0.01,0.063,2024-04-01,HDB
1,2024,0.256,0.021,6.1,1.4,3173,14220,0.051,0.076,0.022,0.566,0.067,0.082,0.137,0.317,0.676,0.603,0.96,0.705,0.014,0.26,0.545,0.414,0.1,0.101,12.1,0.328,11.1,0.01,0.071,2024-01-01,HDB
4,2023,0.247,0.02,5.6,1.2,2881,13275,0.048,0.095,0.018,0.658,0.068,0.077,0.135,0.319,0.636,0.57,0.926,0.686,0.01,0.301,0.536,0.418,0.1,0.19,13.0,0.366,12.0,0.011,0.078,2023-10-01,HDB
3,2023,0.222,0.019,5.7,1.1,2421,12310,0.048,0.192,0.023,0.542,0.068,0.085,0.147,0.378,0.651,0.574,0.854,0.762,0.013,0.183,0.497,0.413,0.1,0.058,11.8,0.35,10.8,0.013,0.063,2023-07-01,HDB
2,2023,0.223,0.018,5.7,1.1,2288,11581,0.048,0.227,0.022,0.613,0.059,0.084,0.141,0.349,0.657,0.594,0.928,0.708,0.013,0.209,0.517,0.34,0.1,0.01,12.0,0.354,11.0,0.012,-0.009,2023-04-01,HDB
1,2023,0.226,0.019,5.6,1.1,2265,11681,0.049,0.144,0.018,0.618,0.05,0.089,0.142,0.346,0.697,0.629,1.155,0.604,0.012,0.281,0.523,0.388,0.1,0.022,11.2,0.314,10.2,0.011,0.047,2023-01-01,HDB
4,2022,0.235,0.02,4.7,0.9,2217,11157,0.05,0.16,0.017,0.704,0.044,0.094,0.148,0.455,0.71,0.634,1.223,0.58,0.011,0.298,0.435,0.307,0.1,0.03,10.7,0.302,9.7,0.01,0.049,2022-10-01,HDB
