quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
4,2019,0.221,0.02,6.5,1.3,2070,10556,0.049,0.27,0.012,1.105,0.04,0.097,0.159,0.457,0.645,0.608,0.918,0.702,0.007,0.166,0.432,0.288,0.1,0.066,10.3,0.388,9.3,0.021,0.058,2019-10-01,MBB
3,2019,0.218,0.02,7.6,1.5,1943,9973,0.049,0.278,0.015,1.027,0.039,0.095,0.157,0.361,0.646,0.604,0.945,0.683,0.009,0.172,0.515,0.348,0.1,0.06,10.5,0.384,9.5,0.018,0.061,2019-07-01,MBB
2,2019,0.218,0.019,6.8,1.3,1833,9402,0.047,0.286,0.013,0.976,0.036,0.088,0.149,0.375,0.631,0.594,0.922,0.684,0.007,0.166,0.51,0.325,0.1,0.072,11.3,0.396,10.3,0.016,-0.017,2019-04-01,MBB
1,2019,0.202,0.018,7.6,1.4,1709,9562,0.047,0.242,0.014,0.965,0.036,0.094,0.158,0.379,0.64,0.598,0.946,0.676,0.008,0.183,0.495,0.354,0.1,0.051,10.6,0.388,9.6,0.013,0.057,2019-01-01,MBB
4,2018,0.202,0.018,6.9,1.2,1627,9044,0.045,0.273,0.013,1.132,0.035,0.094,0.159,0.563,0.628,0.592,0.895,0.702,0.008,0.166,0.347,0.243,0.1,0.216,10.6,0.403,9.6,0.01,0.029,2018-10-01,MBB
3,2018,0.173,0.016,10.0,1.5,1338,8788,0.046,0.243,0.016,1.06,0.036,0.097,0.162,0.41,0.638,0.596,0.881,0.725,0.009,0.162,0.475,0.367,0.1,0.126,10.4,0.392,9.4,0.012,0.06,2018-07-01,MBB
2,2018,0.161,0.015,10.8,1.5,1188,8292,0.045,0.269,0.013,1.066,0.036,0.094,0.153,0.402,0.652,0.615,0.872,0.747,0.008,0.186,0.467,0.311,0.1,0.091,10.6,0.38,9.6,0.016,0.01,2018-04-01,MBB
1,2018,0.151,0.015,15.5,2.1,1089,8212,0.046,0.222,0.014,0.91,0.036,0.098,0.16,0.383,0.671,0.612,0.853,0.786,0.009,0.28,0.498,0.366,0.1,0.191,10.2,0.352,9.2,0.017,0.048,2018-01-01,MBB
4,2017,0.129,0.012,13.3,1.5,915,7834,0.041,0.158,0.012,0.973,0.035,0.094,0.161,0.499,0.622,0.587,0.837,0.744,0.007,0.222,0.243,0.077,0.1,-0.077,10.6,0.41,9.6,0.019,0.04,2017-10-01,MBB
3,2017,0.144,0.014,10.5,1.4,991,7533,0.041,0.219,0.013,0.87,0.036,0.097,0.161,0.424,0.646,0.604,0.833,0.775,0.008,0.211,0.466,0.329,0.1,0.132,10.3,0.384,9.3,0.019,0.042,2017-07-01,MBB
2,2017,0.132,0.013,11.6,1.4,875,7227,0.039,0.215,0.013,1.029,0.036,0.099,0.158,0.38,0.666,0.625,0.849,0.784,0.008,0.22,0.486,0.318,0.1,0.091,10.1,0.363,9.1,0.016,0.038,2017-04-01,MBB
1,2017,0.125,0.013,8.7,1.0,802,6962,0.038,0.171,0.013,1.005,0.038,0.105,0.174,0.417,0.643,0.605,0.83,0.774,0.008,0.217,0.466,0.307,0.1,0.065,9.5,0.388,8.5,0.018,-0.011,2017-01-01,MBB
