quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2025,0.184,0.015,7.2,1.3,2388,13772,0.038,0.114,0.028,0.586,0.048,0.077,0.106,0.157,0.775,0.72,1.058,0.732,0.02,0.289,0.672,0.353,0.1,0.142,13.1,0.242,12.1,0.017,0.029,2025-04-01,SHB
1,2025,0.168,0.014,5.1,0.8,2091,13382,0.032,0.084,0.029,0.592,0.047,0.078,0.108,0.175,0.76,0.718,1.071,0.71,0.021,0.298,0.66,0.578,0.1,0.031,12.9,0.261,11.9,0.011,0.059,2025-01-01,SHB
4,2024,0.173,0.014,3.9,0.6,2029,12640,0.033,0.117,0.029,0.584,0.047,0.078,0.112,0.241,0.75,0.696,1.04,0.721,0.02,0.186,0.629,0.22,0.1,0.193,12.9,0.267,11.9,0.015,0.042,2024-10-01,SHB
3,2024,0.148,0.012,5.0,0.7,1700,12136,0.03,0.153,0.031,0.621,0.055,0.081,0.116,0.301,0.744,0.699,1.019,0.729,0.022,0.144,0.559,0.452,0.1,-0.039,12.3,0.28,11.3,0.009,-0.006,2024-07-01,SHB
2,2024,0.157,0.013,4.7,0.7,1770,12211,0.033,-0.007,0.03,0.632,0.061,0.085,0.122,0.273,0.75,0.699,1.004,0.747,0.021,0.132,0.581,0.521,0.1,0.043,11.8,0.272,10.8,0.009,0.055,2024-04-01,SHB
1,2024,0.158,0.013,4.9,0.7,1697,11576,0.034,0.115,0.03,0.693,0.07,0.086,0.122,0.191,0.76,0.705,0.985,0.772,0.021,0.071,0.646,0.55,0.1,0.044,11.7,0.262,10.7,0.014,0.066,2024-01-01,SHB
4,2023,0.161,0.013,4.9,0.7,1626,10858,0.036,0.078,0.028,0.777,0.073,0.079,0.114,0.205,0.747,0.696,0.98,0.762,0.02,0.137,0.626,0.1,0.1,0.014,12.6,0.276,11.6,0.012,0.007,2023-10-01,SHB
3,2023,0.161,0.013,5.1,0.8,1604,10780,0.036,0.037,0.032,0.583,0.072,0.083,0.118,0.337,0.773,0.706,0.984,0.786,0.023,0.118,0.563,0.448,0.1,-0.067,12.0,0.244,11.0,0.013,0.04,2023-07-01,SHB
2,2023,0.181,0.014,4.5,0.8,1720,10364,0.038,0.193,0.03,0.569,0.065,0.081,0.117,0.214,0.764,0.696,0.995,0.768,0.021,0.094,0.623,0.384,0.1,-0.013,12.3,0.25,11.3,0.014,0.039,2023-04-01,SHB
1,2023,0.191,0.015,3.8,0.7,1742,9973,0.038,0.058,0.028,0.727,0.058,0.08,0.112,0.195,0.796,0.716,1.044,0.763,0.02,0.099,0.641,0.464,0.1,0.039,12.4,0.218,11.4,0.008,0.072,2023-01-01,SHB
