quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2025,0.213,0.015,9.2,1.8,6147,31731,0.034,0.152,0.025,0.754,0.039,0.074,0.102,0.412,0.744,0.728,0.942,0.79,0.018,0.138,0.465,0.372,0.1,0.066,13.5,0.281,12.5,0.0,0.034,2025-04-01,STB
1,2025,0.206,0.015,6.6,1.2,5767,30692,0.036,0.12,0.025,0.747,0.04,0.076,0.103,0.504,0.761,0.745,0.964,0.789,0.019,0.128,0.391,0.372,0.1,0.078,13.1,0.264,12.1,-0.002,0.053,2025-01-01,STB
4,2024,0.2,0.014,6.9,1.3,5350,29159,0.036,0.177,0.024,0.684,0.041,0.073,0.102,0.425,0.734,0.721,0.951,0.771,0.017,0.117,0.447,0.486,0.1,0.153,13.6,0.288,12.6,0.001,0.072,2024-10-01,STB
3,2024,0.184,0.013,7.2,1.2,4640,27201,0.036,0.121,0.025,0.75,0.045,0.073,0.098,0.454,0.764,0.748,0.927,0.824,0.018,0.113,0.437,0.304,0.1,0.069,13.7,0.257,12.7,0.0,0.045,2024-07-01,STB
2,2024,0.18,0.012,6.6,1.1,4339,26033,0.035,0.145,0.024,0.697,0.05,0.068,0.095,0.559,0.743,0.72,0.941,0.79,0.017,0.122,0.357,0.304,0.1,0.032,14.6,0.269,13.6,0.0,0.024,2024-04-01,STB
1,2024,0.179,0.012,7.5,1.2,4206,25413,0.036,0.134,0.023,0.725,0.057,0.069,0.096,0.515,0.764,0.722,0.938,0.814,0.016,0.116,0.386,0.307,0.1,0.027,14.5,0.243,13.5,0.001,0.048,2024-01-01,STB
4,2023,0.183,0.012,6.8,1.2,4094,24259,0.037,0.16,0.023,0.688,0.062,0.068,0.095,0.508,0.769,0.716,0.945,0.814,0.016,0.101,0.403,0.337,0.1,0.07,14.7,0.231,13.7,0.004,0.046,2023-10-01,STB
3,2023,0.179,0.012,8.0,1.3,3824,23185,0.039,0.182,0.022,0.642,0.06,0.067,0.093,0.509,0.765,0.725,0.93,0.823,0.016,0.122,0.385,0.276,0.1,0.062,14.9,0.239,13.9,0.013,0.046,2023-07-01,STB
2,2023,0.175,0.012,8.3,1.3,3600,22168,0.042,0.146,0.018,0.771,0.053,0.067,0.091,0.453,0.774,0.74,0.918,0.844,0.013,0.111,0.444,0.286,0.1,0.198,14.9,0.233,13.9,0.021,0.03,2023-04-01,STB
1,2023,0.149,0.01,8.7,1.2,3005,21513,0.037,0.142,0.012,1.038,0.046,0.068,0.09,0.502,0.788,0.752,0.937,0.841,0.009,0.086,0.397,0.279,0.1,0.124,14.7,0.218,13.7,0.025,0.05,2023-01-01,STB
