quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2025,0.145,0.022,13.0,1.7,3006,22836,0.038,0.283,0.013,1.065,0.033,0.156,0.228,0.301,0.724,0.685,1.303,0.555,0.009,0.2,0.562,0.498,0.2,0.003,6.4,0.328,5.4,0.002,0.051,2025-04-01,TCB
1,2025,0.148,0.023,8.9,1.2,2998,21725,0.041,0.285,0.012,1.116,0.033,0.156,0.232,0.283,0.716,0.671,1.249,0.574,0.008,0.187,0.596,0.518,0.2,-0.013,6.4,0.333,5.4,0.003,0.041,2025-01-01,TCB
4,2024,0.156,0.024,7.9,1.2,3037,20877,0.042,0.1,0.011,1.139,0.033,0.151,0.234,0.496,0.686,0.645,1.184,0.579,0.007,0.218,0.367,0.358,0.2,-0.047,6.6,0.365,5.6,0.004,0.025,2024-10-01,TCB
3,2024,0.168,0.026,7.4,1.2,3187,20373,0.044,0.24,0.013,1.035,0.036,0.156,0.231,0.292,0.732,0.676,1.265,0.579,0.009,0.317,0.569,0.493,0.2,0.052,6.4,0.312,5.4,0.006,0.042,2024-07-01,TCB
2,2024,0.166,0.026,7.5,1.2,3029,19552,0.044,0.294,0.012,1.011,0.039,0.153,0.234,0.294,0.722,0.652,1.229,0.588,0.008,0.269,0.565,0.467,0.2,0.088,6.6,0.314,5.6,0.007,0.005,2024-04-01,TCB
1,2024,0.156,0.025,8.1,1.2,2783,19456,0.041,0.307,0.011,1.061,0.042,0.156,0.247,0.265,0.703,0.631,1.221,0.576,0.007,0.202,0.591,0.512,0.2,0.096,6.4,0.334,5.4,0.006,0.047,2024-01-01,TCB
4,2023,0.148,0.023,5.9,0.8,2540,18575,0.04,0.31,0.012,1.021,0.046,0.155,0.254,0.328,0.688,0.611,1.141,0.603,0.007,0.233,0.522,0.407,0.2,0.052,6.5,0.345,5.5,0.005,0.035,2023-10-01,TCB
3,2023,0.146,0.024,6.6,0.9,2414,17940,0.042,0.302,0.014,0.93,0.047,0.163,0.267,0.348,0.686,0.609,1.163,0.59,0.008,0.158,0.521,0.448,0.2,-0.038,6.1,0.351,5.1,0.003,0.038,2023-07-01,TCB
2,2023,0.158,0.026,6.1,0.9,2511,17282,0.044,0.325,0.011,1.156,0.044,0.167,0.262,0.308,0.718,0.637,1.221,0.588,0.007,0.191,0.552,0.483,0.2,-0.07,6.0,0.319,5.0,0.002,0.038,2023-04-01,TCB
1,2023,0.178,0.029,5.0,0.8,2701,16647,0.047,0.298,0.008,1.338,0.035,0.163,0.253,0.338,0.725,0.643,1.202,0.603,0.005,0.273,0.534,0.488,0.2,-0.05,6.1,0.305,5.1,0.002,0.04,2023-01-01,TCB
4,2022,0.197,0.032,4.3,0.8,2843,16006,0.053,0.277,0.009,1.25,0.028,0.162,0.27,0.423,0.684,0.602,1.173,0.583,0.005,0.211,0.434,0.379,0.2,-0.049,6.2,0.347,5.2,0.002,0.032,2022-10-01,TCB
3,2022,0.216,0.035,5.1,1.0,2991,15508,0.056,0.268,0.006,1.65,0.023,0.164,0.268,0.292,0.698,0.612,1.287,0.542,0.004,0.279,0.566,0.519,0.2,0.047,6.1,0.329,5.1,0.002,0.052,2022-07-01,TCB
2,2022,0.217,0.036,5.9,1.1,2855,14743,0.058,0.287,0.006,1.716,0.022,0.167,0.267,0.292,0.695,0.628,1.218,0.571,0.004,0.25,0.569,0.538,0.2,0.057,6.0,0.343,5.0,0.002,0.06,2022-04-01,TCB
1,2022,0.217,0.036,8.7,1.7,2701,13912,0.057,0.189,0.007,1.608,0.021,0.16,0.27,0.3,0.643,0.594,1.112,0.578,0.004,0.234,0.579,0.561,0.2,0.061,6.2,0.404,5.2,0.002,0.059,2022-01-01,TCB
4,2021,0.217,0.036,9.3,1.8,2545,13131,0.057,0.287,0.007,1.629,0.022,0.164,0.268,0.334,0.665,0.611,1.104,0.602,0.004,0.252,0.508,0.461,0.2,0.037,6.1,0.382,5.1,0.004,0.053,2021-10-01,TCB
