quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
3,2025,0.171,0.016,7.3,1.2,2357,14416,0.032,0.285,0.022,0.612,0.043,0.089,0.135,0.379,0.68,0.655,1.138,0.598,0.015,0.261,0.497,0.336,0.1,0.021,11.3,0.352,10.3,0.01,0.046,2025-07-01,TPB
2,2025,0.173,0.016,5.6,0.9,2308,13781,0.034,0.317,0.02,0.627,0.042,0.089,0.134,0.38,0.692,0.665,1.154,0.6,0.014,0.335,0.496,0.353,0.1,0.017,11.2,0.337,10.2,0.01,-0.032,2025-04-01,TPB
1,2025,0.171,0.017,5.6,0.9,2269,14236,0.036,0.245,0.023,0.571,0.041,0.102,0.15,0.42,0.708,0.675,1.126,0.628,0.015,0.307,0.464,0.376,0.1,0.037,9.8,0.325,8.8,0.012,0.05,2025-01-01,TPB
4,2024,0.173,0.016,6.8,1.1,2188,13552,0.035,0.401,0.015,0.813,0.038,0.09,0.15,0.35,0.626,0.599,1.031,0.607,0.009,0.22,0.518,0.333,0.1,0.249,11.1,0.405,10.1,0.016,0.035,2024-10-01,TPB
3,2024,0.142,0.013,8.7,1.2,1752,13089,0.04,0.206,0.023,0.588,0.04,0.094,0.155,0.357,0.646,0.609,1.044,0.619,0.014,0.304,0.514,0.346,0.1,0.025,10.6,0.382,9.6,0.021,0.02,2024-07-01,TPB
2,2024,0.142,0.013,7.4,1.0,1709,12836,0.042,0.236,0.021,0.66,0.044,0.098,0.167,0.326,0.636,0.59,1.051,0.605,0.012,0.205,0.539,0.359,0.1,0.051,10.2,0.388,9.2,0.025,0.041,2024-04-01,TPB
1,2024,0.133,0.013,8.5,1.1,1626,12325,0.04,0.268,0.022,0.603,0.049,0.096,0.17,0.358,0.612,0.564,1.052,0.581,0.013,0.163,0.514,0.312,0.1,0.011,10.4,0.41,9.4,0.023,0.044,2024-01-01,TPB
4,2023,0.137,0.013,7.8,1.1,1608,11803,0.039,0.101,0.02,0.637,0.053,0.092,0.16,0.415,0.623,0.576,0.986,0.632,0.012,0.275,0.459,0.111,0.1,-0.187,10.9,0.399,9.9,0.017,0.011,2023-10-01,TPB
3,2023,0.174,0.017,6.5,1.1,1978,11673,0.037,0.297,0.03,0.47,0.054,0.094,0.18,0.319,0.572,0.522,0.929,0.615,0.016,0.152,0.546,0.3,0.1,-0.076,10.6,0.446,9.6,0.01,0.045,2023-07-01,TPB
2,2023,0.198,0.018,6.1,1.2,2140,11169,0.037,0.303,0.022,0.609,0.049,0.09,0.175,0.493,0.563,0.516,0.889,0.633,0.011,0.172,0.405,0.33,0.1,-0.069,11.1,0.454,10.1,0.005,-0.08,2023-04-01,TPB
1,2023,0.209,0.02,5.0,0.9,2297,12134,0.038,0.252,0.014,0.839,0.043,0.098,0.195,0.432,0.549,0.503,0.859,0.639,0.007,0.153,0.455,0.386,0.1,0.018,10.2,0.476,9.2,0.009,0.044,2023-01-01,TPB
4,2022,0.215,0.02,4.3,0.8,2256,11621,0.04,0.241,0.008,1.35,0.038,0.098,0.2,0.449,0.538,0.49,0.826,0.652,0.004,0.14,0.44,0.415,0.1,0.034,10.2,0.48,9.2,0.012,0.052,2022-10-01,TPB
3,2022,0.219,0.021,5.3,1.1,2183,11044,0.043,0.272,0.009,1.422,0.036,0.097,0.196,0.345,0.545,0.492,0.96,0.568,0.004,0.174,0.524,0.455,0.1,0.11,10.4,0.469,9.4,0.013,0.056,2022-07-01,TPB
2,2022,0.221,0.02,6.4,1.2,1966,10456,0.044,0.336,0.009,1.615,0.034,0.093,0.192,0.385,0.538,0.486,0.966,0.556,0.004,0.143,0.491,0.378,0.1,0.093,10.7,0.475,9.7,0.024,0.059,2022-04-01,TPB
1,2022,0.22,0.019,10.4,1.9,1799,9870,0.044,0.217,0.011,1.257,0.034,0.09,0.183,0.342,0.541,0.495,0.983,0.55,0.006,0.205,0.527,0.359,0.1,0.033,11.1,0.478,10.1,0.023,0.054,2022-01-01,TPB
4,2021,0.226,0.019,11.0,2.0,1741,9368,0.043,0.222,0.008,1.526,0.033,0.089,0.184,0.39,0.525,0.482,1.012,0.519,0.004,0.177,0.488,0.364,0.1,0.049,11.3,0.494,10.3,0.023,0.05,2021-10-01,TPB
3,2021,0.229,0.02,8.6,1.6,1660,8925,0.044,0.361,0.01,1.154,0.037,0.095,0.186,0.256,0.566,0.511,1.011,0.559,0.005,0.205,0.595,0.302,0.1,0.074,10.5,0.45,9.5,0.026,0.221,2021-07-01,TPB
2,2021,0.247,0.02,8.2,1.7,1545,7310,0.044,0.264,0.011,1.448,0.039,0.084,0.153,0.36,0.599,0.546,1.001,0.598,0.006,0.317,0.511,0.369,0.1,0.117,11.9,0.417,10.9,0.013,0.13,2021-04-01,TPB
1,2021,0.241,0.02,6.9,1.5,1383,6470,0.043,0.191,0.012,1.34,0.041,0.083,0.144,0.352,0.632,0.575,1.036,0.61,0.007,0.238,0.519,0.407,0.1,0.094,12.0,0.385,11.0,0.012,0.072,2021-01-01,TPB
4,2020,0.235,0.019,7.3,1.5,1265,6036,0.043,0.362,0.012,1.342,0.043,0.081,0.14,0.4,0.638,0.582,1.035,0.616,0.007,0.255,0.48,0.333,0.1,-0.022,12.3,0.38,11.3,0.01,0.085,2020-10-01,TPB
3,2020,0.263,0.021,5.1,1.2,1294,5565,0.042,0.229,0.018,0.922,0.045,0.08,0.14,0.366,0.616,0.57,1.015,0.606,0.01,0.187,0.508,0.357,0.1,0.048,12.5,0.406,11.5,0.008,0.067,2020-07-01,TPB
2,2020,0.266,0.021,4.7,1.1,1234,5216,0.042,0.28,0.015,1.127,0.047,0.08,0.144,0.401,0.597,0.554,1.044,0.572,0.008,0.129,0.478,0.334,0.1,0.064,12.5,0.425,11.5,0.011,0.044,2020-04-01,TPB
1,2020,0.256,0.02,4.2,1.0,1161,4997,0.041,0.289,0.019,0.76,0.046,0.078,0.138,0.451,0.612,0.569,1.121,0.546,0.011,0.186,0.44,0.333,0.1,-0.406,12.7,0.409,11.7,0.012,-0.395,2020-01-01,TPB
