quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2025,0.175,0.017,14.5,2.3,4148,25581,0.027,0.208,0.01,2.138,0.023,0.096,0.137,0.337,0.719,0.702,0.981,0.733,0.007,0.136,0.531,0.495,0.1,0.021,10.4,0.328,9.4,0.002,0.043,2025-04-01,VCB
1,2025,0.179,0.017,15.6,2.6,4062,24527,0.029,0.207,0.01,2.161,0.023,0.097,0.14,0.327,0.712,0.695,0.972,0.733,0.007,0.158,0.539,0.504,0.1,0.003,10.3,0.336,9.3,0.001,0.045,2025-01-01,VCB
4,2024,0.186,0.017,15.0,2.6,4048,23482,0.029,0.218,0.01,2.233,0.022,0.094,0.135,0.398,0.714,0.695,0.957,0.746,0.007,0.141,0.482,0.484,0.1,-0.023,10.6,0.332,9.6,0.001,0.031,2024-10-01,VCB
3,2024,0.198,0.019,14.7,2.7,4143,22774,0.03,0.194,0.012,2.046,0.025,0.098,0.136,0.345,0.749,0.725,0.98,0.764,0.009,0.178,0.525,0.509,0.1,0.039,10.2,0.299,9.2,0.004,0.047,2024-07-01,VCB
2,2024,0.2,0.018,14.2,2.6,3988,21746,0.03,0.17,0.012,2.121,0.028,0.095,0.133,0.306,0.738,0.719,0.996,0.74,0.009,0.163,0.558,0.485,0.1,0.021,10.5,0.311,9.5,0.005,0.047,2024-04-01,VCB
1,2024,0.205,0.018,16.1,3.0,3904,20777,0.03,0.185,0.012,1.998,0.032,0.098,0.137,0.292,0.735,0.714,0.94,0.781,0.009,0.079,0.567,0.497,0.1,-0.012,10.2,0.315,9.2,0.004,0.03,2024-01-01,VCB
4,2023,0.216,0.018,13.5,2.6,3953,20171,0.03,0.198,0.01,2.303,0.034,0.092,0.133,0.36,0.712,0.691,0.91,0.782,0.007,0.109,0.512,0.587,0.1,-0.017,10.9,0.334,9.9,0.001,0.058,2023-10-01,VCB
3,2023,0.234,0.02,14.4,3.0,4021,19058,0.033,0.202,0.012,2.701,0.035,0.092,0.134,0.332,0.707,0.687,0.882,0.802,0.008,0.053,0.537,0.461,0.1,0.037,10.9,0.348,9.9,0.004,0.048,2023-07-01,VCB
2,2023,0.236,0.02,14.5,3.1,3877,18191,0.035,0.197,0.008,3.858,0.033,0.089,0.129,0.324,0.718,0.691,0.888,0.808,0.006,0.07,0.541,0.425,0.1,0.048,11.2,0.335,10.2,0.005,0.051,2023-04-01,VCB
1,2023,0.236,0.019,13.9,3.0,3700,17312,0.034,0.233,0.008,3.208,0.028,0.078,0.123,0.285,0.655,0.636,0.916,0.715,0.005,0.141,0.573,0.486,0.1,0.034,12.8,0.392,11.8,0.008,0.048,2023-01-01,VCB
