time,Open,High,Low,Close,Volume,Ticker
2020-01-06,38.52,38.65,37.78,37.78,880110,VCB
2020-01-07,37.57,37.95,36.88,37.91,1013270,VCB
2020-01-08,37.52,37.95,37.22,37.57,722280,VCB
2020-01-09,37.87,38.39,37.87,38.3,722670,VCB
2020-01-10,38.3,39.03,37.95,38.65,1526920,VCB
2020-01-13,38.43,38.78,38.43,38.6,1044640,VCB
2020-01-14,38.65,38.86,38.47,38.6,1001130,VCB
2020-01-15,38.69,38.69,38.34,38.56,1471860,VCB
2020-01-16,38.56,38.99,38.39,38.65,1171580,VCB
2020-01-17,38.65,40.8,38.65,40.8,2219790,VCB
2020-01-20,40.8,40.93,40.37,40.59,832190,VCB
2020-01-21,40.54,40.85,40.42,40.59,749590,VCB
2020-01-22,40.59,41.02,40.2,40.33,877710,VCB
2020-01-30,39.77,39.9,37.57,38.39,3541560,VCB
2020-01-31,38.0,38.78,37.87,38.3,1270160,VCB
2020-02-03,36.31,38.95,35.84,38.3,1457070,VCB
2020-02-04,38.43,38.78,37.87,38.78,1118410,VCB
2020-02-05,38.95,39.03,38.34,38.39,731310,VCB
2020-02-06,38.43,39.25,38.34,38.6,889570,VCB
2020-02-07,38.78,39.21,38.43,38.86,1170540,VCB
2020-02-10,38.52,38.65,38.21,38.39,607060,VCB
2020-02-11,38.43,38.65,38.39,38.52,520210,VCB
2020-02-12,38.78,38.78,38.47,38.6,609750,VCB
2020-02-13,38.52,38.65,38.34,38.56,633270,VCB
2020-02-14,38.43,38.78,38.43,38.56,432800,VCB
2020-02-17,38.56,38.82,38.47,38.6,343900,VCB
2020-02-18,38.69,38.69,38.43,38.6,432880,VCB
2020-02-19,38.43,38.65,38.43,38.65,208280,VCB
2020-02-20,38.73,39.03,38.52,38.65,541120,VCB
2020-02-21,38.65,38.65,38.43,38.43,898350,VCB
2020-02-24,37.13,38.0,37.13,37.65,995910,VCB
2020-02-25,37.13,37.57,37.05,37.22,1229530,VCB
2020-02-26,37.13,37.13,36.27,36.7,1163030,VCB
2020-02-27,36.27,36.53,35.8,36.27,1227980,VCB
2020-02-28,34.59,36.01,34.59,35.58,1710080,VCB
2020-03-02,35.19,35.49,35.1,35.32,668980,VCB
2020-03-03,36.06,36.06,35.49,35.49,848270,VCB
2020-03-04,35.41,35.41,34.98,35.28,581530,VCB
2020-03-05,35.49,36.1,35.49,35.88,833710,VCB
2020-03-06,35.84,37.0,35.41,36.49,884750,VCB
2020-03-09,34.11,34.93,33.94,33.94,1209500,VCB
2020-03-10,33.68,34.5,32.56,34.5,1433230,VCB
2020-03-11,34.72,34.72,32.12,33.25,1806190,VCB
2020-03-12,31.09,31.52,30.96,30.96,1582400,VCB
2020-03-13,28.8,31.52,28.8,30.66,1859750,VCB
2020-03-16,30.66,30.66,28.71,28.97,1022550,VCB
2020-03-17,27.46,29.15,27.46,29.15,1364590,VCB
2020-03-18,29.36,30.53,29.36,29.92,1099800,VCB
2020-03-19,29.06,29.66,28.5,28.5,1191150,VCB
2020-03-20,28.5,28.63,26.56,26.56,2763360,VCB
2020-03-23,24.87,25.26,24.7,24.7,1875070,VCB
2020-03-24,24.7,25.22,24.44,25.04,1498070,VCB
2020-03-25,25.91,26.77,25.78,26.77,1835730,VCB
2020-03-26,26.77,27.94,26.56,27.29,1484590,VCB
2020-03-27,27.59,28.46,26.99,27.68,1569620,VCB
2020-03-30,25.95,26.51,25.82,26.34,1637330,VCB
2020-03-31,26.6,27.68,25.91,26.77,957500,VCB
2020-04-01,26.6,28.46,26.56,28.07,1229320,VCB
2020-04-03,28.07,28.63,27.64,28.28,1726690,VCB
2020-04-06,29.15,29.49,28.5,29.36,2111200,VCB
2020-04-07,29.36,29.79,28.84,29.45,1773570,VCB
2020-04-08,28.93,29.45,28.84,29.15,1778380,VCB
2020-04-09,29.36,31.09,29.36,30.66,1795170,VCB
2020-04-10,30.66,31.05,30.05,30.48,1599380,VCB
2020-04-13,30.48,31.0,30.22,30.57,1046830,VCB
2020-04-14,30.44,30.57,29.28,30.18,1944570,VCB
2020-04-15,30.1,30.79,30.1,30.61,1017740,VCB
2020-04-16,30.22,30.74,30.14,30.74,1057050,VCB
2020-04-17,30.87,31.0,30.61,30.83,1473140,VCB
2020-04-20,30.96,31.26,30.57,31.05,1026030,VCB
2020-04-21,30.66,30.87,29.28,30.87,2159110,VCB
2020-04-22,29.79,30.7,29.79,29.92,1612290,VCB
2020-04-23,30.66,30.66,29.71,29.88,1201610,VCB
2020-04-24,29.88,30.05,29.15,29.75,972170,VCB
2020-04-27,30.18,30.18,28.84,28.84,2547060,VCB
2020-04-28,28.84,29.58,28.15,28.93,2052860,VCB
2020-04-29,28.93,29.4,28.93,29.36,1523750,VCB
2020-05-04,29.36,29.4,28.84,29.1,852260,VCB
2020-05-05,29.06,29.23,28.84,28.84,1007640,VCB
2020-05-06,29.06,29.23,28.71,29.19,855770,VCB
2020-05-07,29.28,30.1,29.23,30.1,1936540,VCB
2020-05-08,30.22,32.04,30.14,31.74,3865590,VCB
2020-05-11,31.74,32.17,31.3,32.17,1696160,VCB
2020-05-12,32.21,32.82,32.12,32.64,2199500,VCB
2020-05-13,32.64,33.03,31.09,32.64,1851970,VCB
2020-05-14,32.38,32.99,32.34,32.82,2121750,VCB
2020-05-15,32.99,33.03,32.64,32.82,1596240,VCB
2020-05-18,32.95,34.11,32.73,33.9,1002690,VCB
2020-05-19,34.5,34.59,34.02,34.11,1129270,VCB
2020-05-20,33.85,34.41,33.85,34.37,710200,VCB
2020-05-21,34.54,35.06,34.37,35.06,1425500,VCB
2020-05-22,35.06,35.1,34.54,34.98,805710,VCB
2020-05-25,34.93,35.1,34.89,35.02,708710,VCB
2020-05-26,34.98,35.67,34.98,35.62,740930,VCB
2020-05-27,35.84,36.44,35.8,35.8,817770,VCB
2020-05-28,35.84,36.74,35.84,36.49,1849310,VCB
2020-05-29,36.7,37.13,36.49,36.79,1161180,VCB
2020-06-01,36.92,37.44,36.92,37.35,725310,VCB
2020-06-02,37.52,37.52,37.26,37.39,1009040,VCB
2020-06-03,37.57,37.95,37.52,37.95,462750,VCB
2020-06-04,38.0,38.43,38.0,38.43,450240,VCB
2020-06-05,38.47,38.56,37.57,38.43,810570,VCB
2020-06-08,38.43,38.95,38.17,38.6,802240,VCB
2020-06-09,38.82,38.86,38.6,38.65,417690,VCB
2020-06-10,38.65,38.78,38.56,38.69,793590,VCB
2020-06-11,38.65,38.69,37.57,38.0,1163900,VCB
2020-06-12,35.62,37.35,35.62,36.96,1612920,VCB
2020-06-15,36.96,37.05,35.32,35.41,1218540,VCB
2020-06-16,36.27,36.27,35.58,36.14,802980,VCB
2020-06-17,36.7,36.79,36.18,36.36,737830,VCB
2020-06-18,36.27,37.35,36.23,36.7,1809780,VCB
2020-06-19,36.7,37.13,36.7,36.88,723970,VCB
2020-06-22,36.92,36.96,36.7,36.92,1308600,VCB
2020-06-23,36.92,37.57,36.83,37.13,917230,VCB
2020-06-24,37.13,37.13,36.31,36.57,710160,VCB
2020-06-25,35.71,36.44,35.71,36.14,506650,VCB
2020-06-26,36.31,36.57,35.84,35.97,355930,VCB
2020-06-29,35.97,35.97,35.02,35.19,594140,VCB
2020-06-30,35.62,35.62,34.54,34.67,709990,VCB
2020-07-01,34.67,35.71,34.54,35.71,404440,VCB
2020-07-02,35.92,35.92,34.98,35.67,469040,VCB
2020-07-03,35.62,35.97,35.49,35.84,370340,VCB
2020-07-06,35.84,36.01,35.58,35.8,1218830,VCB
2020-07-07,36.27,36.36,35.97,36.01,1336830,VCB
2020-07-08,35.92,36.01,35.75,35.84,485190,VCB
2020-07-09,36.23,36.23,35.97,36.1,962170,VCB
