quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
2,2025,0.184,0.016,8.7,1.5,2213,12816,0.033,0.224,0.036,0.372,0.041,0.082,0.123,0.369,0.682,0.671,1.17,0.583,0.024,0.277,0.505,0.406,0.1,0.055,12.2,0.354,11.2,0.011,0.0,2025-04-01,VIB
1,2025,0.174,0.016,8.0,1.3,2097,12821,0.036,0.188,0.038,0.386,0.042,0.088,0.131,0.382,0.687,0.674,1.184,0.58,0.026,0.248,0.494,0.421,0.1,-0.009,11.4,0.352,10.4,0.012,0.043,2025-01-01,VIB
4,2024,0.181,0.016,7.9,1.4,2116,12297,0.038,0.228,0.035,0.501,0.039,0.085,0.129,0.332,0.669,0.657,1.173,0.571,0.023,0.217,0.534,0.364,0.1,0.003,11.8,0.371,10.8,0.01,0.048,2024-10-01,VIB
3,2024,0.189,0.017,7.7,1.4,2110,11733,0.042,0.178,0.039,0.471,0.042,0.09,0.134,0.361,0.68,0.668,1.164,0.584,0.026,0.211,0.511,0.324,0.1,-0.071,11.2,0.363,10.2,0.012,0.042,2024-07-01,VIB
2,2024,0.214,0.019,6.7,1.3,2271,11266,0.044,0.143,0.037,0.481,0.044,0.089,0.138,0.358,0.659,0.647,1.126,0.585,0.024,0.188,0.513,0.334,0.1,-0.08,11.2,0.384,10.2,0.015,-0.002,2024-04-01,VIB
1,2024,0.237,0.022,7.0,1.5,2470,11285,0.047,0.181,0.036,0.498,0.05,0.093,0.143,0.352,0.663,0.647,1.143,0.58,0.023,0.168,0.518,0.376,0.1,-0.018,10.8,0.38,9.8,0.014,0.013,2024-01-01,VIB
4,2023,0.243,0.023,5.3,1.2,2515,11145,0.048,0.258,0.031,0.51,0.055,0.093,0.142,0.303,0.667,0.65,1.126,0.592,0.02,0.148,0.557,0.326,0.1,-0.035,10.8,0.374,9.8,0.015,0.053,2023-10-01,VIB
3,2023,0.267,0.024,5.1,1.2,2607,10587,0.049,0.224,0.037,0.414,0.056,0.094,0.147,0.285,0.658,0.639,1.15,0.572,0.024,0.086,0.572,0.356,0.1,-0.01,10.7,0.382,9.7,0.011,0.063,2023-07-01,VIB
2,2023,0.288,0.025,5.1,1.3,2633,9961,0.047,0.179,0.036,0.391,0.052,0.09,0.144,0.29,0.638,0.62,1.143,0.558,0.023,0.058,0.568,0.44,0.1,0.019,11.2,0.4,10.2,0.007,0.041,2023-04-01,VIB
1,2023,0.3,0.025,4.6,1.2,2585,9568,0.047,0.127,0.036,0.38,0.048,0.091,0.142,0.318,0.658,0.642,1.15,0.572,0.023,0.07,0.546,0.437,0.1,0.039,11.0,0.381,10.0,0.005,-0.002,2023-01-01,VIB
4,2022,0.297,0.026,4.1,1.1,2487,9591,0.047,0.165,0.025,0.539,0.043,0.095,0.141,0.334,0.7,0.676,1.159,0.604,0.017,0.151,0.533,0.473,0.1,0.009,10.5,0.335,9.5,0.003,0.071,2022-10-01,VIB
3,2022,0.319,0.027,4.7,1.3,2464,8953,0.048,0.171,0.023,0.54,0.039,0.089,0.135,0.361,0.693,0.663,1.196,0.579,0.016,0.204,0.511,0.483,0.1,0.155,11.2,0.339,10.2,0.004,0.079,2022-07-01,VIB
2,2022,0.295,0.023,5.3,1.4,2134,8298,0.044,0.197,0.024,0.541,0.036,0.081,0.127,0.326,0.668,0.637,1.125,0.594,0.016,0.212,0.539,0.476,0.1,0.07,12.3,0.359,11.3,0.004,0.086,2022-04-01,VIB
1,2022,0.299,0.023,9.3,2.4,1993,7641,0.044,0.15,0.024,0.518,0.035,0.078,0.121,0.353,0.673,0.641,1.165,0.578,0.015,0.206,0.518,0.441,0.1,0.059,12.8,0.351,11.8,0.005,0.071,2022-01-01,VIB
4,2021,0.303,0.023,9.9,2.6,1883,7135,0.044,0.245,0.023,0.514,0.037,0.078,0.121,0.255,0.679,0.651,1.161,0.585,0.015,0.189,0.596,0.475,0.1,0.126,12.7,0.348,11.7,0.005,0.096,2021-10-01,VIB
3,2021,0.294,0.023,8.3,2.1,1672,6509,0.046,0.13,0.021,0.541,0.041,0.078,0.118,0.464,0.692,0.659,1.101,0.628,0.014,0.261,0.429,0.36,0.1,-0.038,12.9,0.332,11.9,0.003,0.053,2021-07-01,VIB
2,2021,0.326,0.025,11.2,3.1,1738,6183,0.046,0.223,0.017,0.638,0.041,0.076,0.115,0.354,0.693,0.66,1.088,0.637,0.011,0.327,0.517,0.451,0.1,0.133,13.2,0.331,12.2,0.005,0.089,2021-04-01,VIB
1,2021,0.311,0.023,8.8,2.4,1535,5677,0.043,0.207,0.017,0.62,0.043,0.075,0.109,0.389,0.709,0.688,1.132,0.626,0.012,0.316,0.489,0.413,0.1,0.126,13.3,0.32,12.3,0.004,0.075,2021-01-01,VIB
4,2020,0.296,0.022,6.7,1.7,1363,5279,0.04,0.24,0.017,0.582,0.046,0.073,0.106,0.387,0.712,0.693,1.127,0.631,0.012,0.312,0.49,0.422,0.1,0.117,13.6,0.317,12.6,0.003,0.086,2020-10-01,VIB
3,2020,0.286,0.021,5.3,1.3,1220,4862,0.04,0.263,0.021,0.483,0.051,0.078,0.111,0.371,0.725,0.699,1.079,0.672,0.015,0.209,0.503,0.44,0.1,0.124,12.9,0.302,11.9,0.003,0.088,2020-07-01,VIB
2,2020,0.275,0.02,3.8,0.9,1085,4469,0.039,0.255,0.024,0.498,0.054,0.075,0.11,0.395,0.708,0.681,1.078,0.657,0.016,0.205,0.484,0.401,0.1,0.062,13.3,0.321,12.3,0.001,0.065,2020-04-01,VIB
1,2020,0.272,0.021,3.0,0.7,1021,4196,0.04,0.204,0.022,0.473,0.055,0.074,0.106,0.455,0.723,0.698,1.095,0.66,0.015,0.323,0.436,0.381,0.1,-0.514,13.5,0.304,12.5,0.002,-0.515,2020-01-01,VIB
4,2019,0.271,0.02,4.9,1.2,2102,8647,0.039,0.254,0.02,0.496,0.052,0.073,0.104,0.442,0.722,0.7,1.056,0.684,0.014,0.344,0.446,0.416,0.1,0.037,13.7,0.305,12.7,0.002,0.075,2019-10-01,VIB
3,2019,0.278,0.02,5.3,1.3,2027,8047,0.039,0.267,0.02,0.499,0.049,0.071,0.101,0.414,0.724,0.701,1.084,0.668,0.014,0.358,0.469,0.397,0.1,0.154,14.1,0.303,13.1,0.004,0.075,2019-07-01,VIB
2,2019,0.256,0.019,4.7,1.1,1757,7482,0.039,0.214,0.022,0.44,0.047,0.071,0.102,0.398,0.722,0.699,1.155,0.625,0.015,0.312,0.482,0.415,0.1,0.125,14.1,0.306,13.1,0.007,0.033,2019-04-01,VIB
1,2019,0.238,0.017,6.0,1.3,1562,7245,0.038,0.192,0.025,0.403,0.044,0.078,0.11,0.436,0.73,0.704,1.149,0.635,0.018,0.209,0.451,0.378,0.1,0.106,12.9,0.3,11.9,0.007,0.055,2019-01-01,VIB
4,2018,0.225,0.017,6.1,1.3,1412,6868,0.038,0.304,0.025,0.363,0.044,0.077,0.111,0.372,0.713,0.692,1.133,0.629,0.017,0.204,0.502,0.438,0.1,0.095,13.0,0.317,12.0,0.007,0.054,2018-10-01,VIB
3,2018,0.21,0.016,7.7,1.5,1289,6515,0.038,0.143,0.025,0.466,0.043,0.076,0.112,0.459,0.71,0.685,1.14,0.622,0.017,0.254,0.433,0.307,0.1,0.15,13.1,0.321,12.1,0.002,0.047,2018-07-01,VIB
2,2018,0.189,0.014,8.2,1.5,1120,6221,0.036,0.169,0.023,0.532,0.04,0.076,0.111,0.467,0.708,0.686,1.159,0.611,0.016,0.261,0.426,0.349,0.1,0.23,13.2,0.318,12.2,0.002,0.055,2018-04-01,VIB
1,2018,0.157,0.012,15.0,2.3,911,5896,0.032,0.159,0.025,0.46,0.037,0.067,0.109,0.51,0.638,0.619,1.135,0.563,0.016,0.325,0.392,0.331,0.1,0.256,14.9,0.386,13.9,0.004,0.041,2018-01-01,VIB
4,2017,0.128,0.01,10.8,1.4,725,5661,0.031,0.127,0.025,0.456,0.036,0.071,0.11,0.478,0.67,0.648,1.168,0.573,0.016,0.327,0.417,0.498,0.1,0.532,14.0,0.355,13.0,0.004,-0.015,2017-10-01,VIB
3,2017,0.084,0.007,15.4,1.3,473,5749,0.031,0.178,0.024,0.498,0.037,0.077,0.123,0.557,0.641,0.621,1.088,0.589,0.015,0.356,0.355,0.179,0.1,0.176,13.1,0.387,12.1,0.005,0.021,2017-07-01,VIB
2,2017,0.073,0.006,18.9,1.3,402,5632,0.029,0.142,0.026,0.496,0.035,0.076,0.126,0.662,0.612,0.6,1.113,0.55,0.016,0.349,0.27,0.202,0.1,0.082,13.2,0.421,12.2,0.006,-0.014,2017-04-01,VIB
1,2017,0.066,0.006,16.1,1.1,371,5709,0.029,0.177,0.022,0.697,0.034,0.084,0.139,0.64,0.615,0.6,1.046,0.588,0.013,0.303,0.288,0.149,0.1,0.026,12.0,0.422,11.0,0.005,0.014,2017-01-01,VIB
4,2016,0.065,0.006,,,362,5628,0.028,0.175,0.026,0.562,0.032,0.084,0.145,0.618,0.59,0.576,1.016,0.581,0.015,0.26,0.306,0.247,0.1,0.069,12.0,0.446,11.0,0.007,0.026,2016-10-01,VIB
3,2016,0.062,0.007,,,339,5488,0.031,0.194,0.015,0.754,0.037,0.096,0.16,0.641,0.619,0.602,0.893,0.693,0.009,0.203,0.288,0.105,0.1,0.035,10.4,0.418,9.4,0.013,0.012,2016-07-01,VIB
2,2016,0.061,0.006,,,327,5424,0.03,0.311,0.018,0.822,0.035,0.097,0.164,0.586,0.606,0.592,0.896,0.676,0.011,0.244,0.336,0.153,0.1,0.063,10.3,0.437,9.3,0.015,-0.038,2016-04-01,VIB
1,2016,0.055,0.006,,,308,5637,0.031,0.243,0.02,0.658,0.028,0.103,0.179,0.618,0.591,0.572,0.906,0.652,0.012,0.236,0.299,0.141,0.1,-0.017,9.7,0.457,8.7,0.016,0.013,2016-01-01,VIB
4,2015,0.057,0.006,,,313,5565,0.03,0.344,0.021,0.64,0.034,0.102,0.181,0.548,0.583,0.566,0.896,0.65,0.012,0.251,0.314,0.216,0.1,-0.227,9.8,0.462,8.8,0.018,0.025,2015-10-01,VIB
3,2015,0.076,0.008,,,405,5428,0.035,0.093,0.023,0.575,0.047,0.116,0.19,0.717,0.634,0.611,0.882,0.719,0.014,0.202,0.218,0.106,0.1,0.01,8.6,0.414,7.6,0.025,0.013,2015-07-01,VIB
2,2015,0.076,0.008,,,401,5360,0.036,0.112,0.021,1.041,0.057,0.108,0.202,0.592,0.564,0.533,0.831,0.678,0.011,0.139,0.292,0.146,0.1,0.034,9.3,0.481,8.3,0.028,-0.038,2015-04-01,VIB
1,2015,0.072,0.008,,,388,5574,0.033,0.204,0.022,0.976,0.051,0.111,0.219,0.589,0.543,0.506,0.822,0.66,0.011,0.046,0.351,0.175,0.1,0.162,9.0,0.499,8.0,0.036,0.018,2015-01-01,VIB
4,2014,0.063,0.007,,,334,5477,0.033,0.53,0.025,0.926,0.054,0.105,0.223,0.298,0.513,0.473,0.778,0.659,0.012,0.083,0.578,0.231,0.1,1.541,9.5,0.522,8.5,0.033,0.043,2014-10-01,VIB
3,2014,0.025,0.003,,,131,5252,0.035,0.072,0.022,0.779,0.061,0.107,0.221,0.672,0.556,0.484,0.839,0.663,0.011,0.069,0.238,0.099,0.1,-18.558,9.3,0.453,8.3,0.033,0.008,2014-07-01,VIB
2,2014,-0.001,0.0,,,-7,5212,0.034,0.267,0.029,0.929,0.063,0.115,0.223,0.443,0.61,0.514,0.872,0.7,0.015,0.065,0.463,0.114,0.1,-0.879,8.7,0.402,7.7,0.024,0.008,2014-04-01,VIB
1,2014,-0.012,-0.001,,,-61,5170,0.033,0.185,0.03,0.935,0.071,0.104,0.213,0.676,0.577,0.489,0.942,0.613,0.014,0.134,0.221,0.057,0.1,-3.75,9.6,0.429,8.6,0.008,0.009,2014-01-01,VIB
4,2013,0.004,0.0,,,22,5126,0.034,0.133,0.028,0.909,0.063,0.104,0.226,0.746,0.547,0.458,0.815,0.671,0.013,0.038,0.118,0.042,0.1,-0.805,9.7,0.447,8.7,0.014,-0.056,2013-10-01,VIB
3,2013,0.022,0.003,,,115,5431,0.039,0.105,0.029,1.17,0.076,0.128,0.244,0.762,0.643,0.524,0.862,0.746,0.015,0.067,0.183,-0.317,0.1,-0.306,7.8,0.371,6.8,0.016,-0.01,2013-07-01,VIB
