quarter,year,ROE (%),ROA (%),P/E,P/B,EPS (VND),BVPS (VND),NIM (%),Non_Interest_Income (%),NPL (%),Provision_Coverage (%),Cost_of_Funds (%),Equity_Ratio (%),Equity_on_Loan (%),CIR (%),Loan_on_Earning_Asset (%),Loan_to_Asset (%),Loan_to_Deposit (%),Deposit_Ratio (%),NPL_to_Asset (%),Credit_Growth (%),Pre_Provision_ROA (%),Post_Tax_ROA (%),equity_on_liability,eps_change,asset_on_equity,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,time,Ticker
3,2025,0.142,0.02,11.3,1.5,2602,20109,0.055,0.252,0.035,0.551,0.046,0.135,0.178,0.22,0.788,0.761,1.53,0.515,0.027,0.411,0.627,0.366,0.2,0.187,7.4,0.256,6.4,0.033,0.048,2025-07-01,VPB
2,2025,0.124,0.018,8.4,1.0,2193,19181,0.054,0.185,0.04,0.522,0.042,0.138,0.184,0.266,0.773,0.751,1.38,0.56,0.03,0.328,0.583,0.299,0.2,0.08,7.3,0.275,6.3,0.034,0.006,2025-04-01,VPB
1,2025,0.113,0.018,9.1,1.0,2030,19059,0.059,0.142,0.047,0.474,0.043,0.152,0.207,0.249,0.778,0.734,1.322,0.589,0.035,0.253,0.589,0.253,0.2,0.021,6.6,0.27,5.6,0.042,0.027,2025-01-01,VPB
4,2024,0.114,0.018,9.4,1.0,1988,18562,0.058,0.252,0.042,0.562,0.044,0.159,0.213,0.215,0.777,0.75,1.427,0.545,0.031,0.224,0.643,0.286,0.2,0.196,6.3,0.28,5.3,0.042,0.035,2024-10-01,VPB
3,2024,0.109,0.016,11.8,1.1,1662,17928,0.06,0.193,0.048,0.507,0.048,0.166,0.224,0.249,0.773,0.74,1.335,0.579,0.036,0.218,0.603,0.276,0.2,0.138,6.0,0.285,5.0,0.042,0.03,2024-07-01,VPB
2,2024,0.098,0.014,12.4,1.0,1460,17403,0.057,0.231,0.051,0.481,0.053,0.16,0.221,0.206,0.77,0.722,1.324,0.581,0.037,0.278,0.643,0.226,0.2,0.046,6.3,0.282,5.3,0.044,-0.034,2024-04-01,VPB
1,2024,0.093,0.015,13.1,1.0,1396,18015,0.056,0.156,0.048,0.534,0.063,0.174,0.245,0.258,0.758,0.709,1.278,0.593,0.034,0.257,0.557,0.234,0.2,0.103,5.8,0.299,4.8,0.043,0.021,2024-01-01,VPB
4,2023,0.087,0.014,14.0,1.0,1267,17639,0.056,0.172,0.05,0.517,0.066,0.171,0.247,0.271,0.744,0.693,1.28,0.581,0.035,0.292,0.568,0.158,0.2,-0.023,5.8,0.313,4.8,0.048,0.272,2023-10-01,VPB
3,2023,0.103,0.015,14.7,1.4,1296,13863,0.059,0.215,0.057,0.427,0.063,0.141,0.211,0.284,0.727,0.668,1.237,0.587,0.038,0.295,0.558,0.216,0.2,-0.113,7.1,0.315,6.1,0.054,0.023,2023-07-01,VPB
2,2023,0.12,0.017,12.0,1.3,1461,13557,0.062,0.314,0.065,0.43,0.055,0.145,0.22,0.288,0.715,0.661,1.261,0.567,0.043,0.245,0.668,0.192,0.2,-0.037,6.9,0.333,5.9,0.056,0.023,2023-04-01,VPB
